date,NASDAQCOM
1982-08-01,168.37
1982-09-01,177.3
1982-10-01,188.7
1982-11-01,214.52
1982-12-01,235.59
1983-01-01,230.59
1983-02-01,248.15
1983-03-01,261.82
1983-04-01,268.73
1983-05-01,290.54
1983-06-01,307.95
1983-07-01,321.58
1983-08-01,302.08
1983-09-01,294.55
1983-10-01,294.64
1983-11-01,273.04
1983-12-01,286.07
1984-01-01,277.63
1984-02-01,266.43
1984-03-01,253.5
1984-04-01,249.8
1984-05-01,250.26
1984-06-01,235.9
1984-07-01,237.91
1984-08-01,233.35
1984-09-01,251.39
1984-10-01,247.86
1984-11-01,247.97
1984-12-01,240.9
1985-01-01,245.91
1985-02-01,278.43
1985-03-01,287.16
1985-04-01,280.32
1985-05-01,279.63
1985-06-01,290.59
1985-07-01,296.48
1985-08-01,304.01
1985-09-01,296.56
1985-10-01,281.77
1985-11-01,294.11
1985-12-01,312.95
1986-01-01,324.99
1986-02-01,337.5
1986-03-01,359.78
1986-04-01,374.15
1986-05-01,381.67
1986-06-01,399.35
1986-07-01,407.61
1986-08-01,370.66
1986-09-01,380.14
1986-10-01,352.34
1986-11-01,361.14
1986-12-01,357.87
1987-01-01,353.26
1987-02-01,397.18
1987-03-01,423.91
1987-04-01,428.34
1987-05-01,418.44
1987-06-01,415.01
1987-07-01,424.46
1987-08-01,433.13
1987-09-01,452.5
1987-10-01,448.45
1987-11-01,328.33
1987-12-01,305.24
1988-01-01,338.48
1988-02-01,346.2
1988-03-01,367.32
1988-04-01,371.89
1988-05-01,379.74
1988-06-01,374.81
1988-07-01,394.69
1988-08-01,388.0
1988-09-01,372.96
1988-10-01,384.48
1988-11-01,382.35
1988-12-01,373.87
1989-01-01,378.56
1989-02-01,403.23
1989-03-01,399.8
1989-04-01,407.65
1989-05-01,427.47
1989-06-01,448.32
1989-07-01,436.0
1989-08-01,453.29
1989-09-01,471.34
1989-10-01,475.19
1989-11-01,456.64
1989-12-01,457.1
1990-01-01,459.33
1990-02-01,417.76
1990-03-01,427.21
1990-04-01,433.18
1990-05-01,421.85
1990-06-01,462.13
1990-07-01,462.04
1990-08-01,435.91
1990-09-01,381.67
1990-10-01,354.65
1990-11-01,330.6
1990-12-01,361.32
1991-01-01,372.19
1991-02-01,417.69
1991-03-01,456.73
1991-04-01,480.86
1991-05-01,487.85
1991-06-01,507.1
1991-07-01,481.31
1991-08-01,504.15
1991-09-01,520.91
1991-10-01,528.51
1991-11-01,540.93
1991-12-01,530.91
1992-01-01,586.45
1992-02-01,623.43
1992-03-01,635.47
1992-04-01,602.09
1992-05-01,578.14
1992-06-01,588.37
1992-07-01,568.99
1992-08-01,582.36
1992-09-01,565.61
1992-10-01,578.33
1992-11-01,607.57
1992-12-01,653.95
1993-01-01,671.8
1993-02-01,701.77
1993-03-01,669.51
1993-04-01,686.64
1993-05-01,666.71
1993-06-01,704.28
1993-07-01,703.59
1993-08-01,707.66
1993-09-01,746.15
1993-10-01,763.23
1993-11-01,783.77
1993-12-01,763.81
1994-01-01,770.76
1994-02-01,797.24
1994-03-01,788.64
1994-04-01,727.41
1994-05-01,740.68
1994-06-01,735.52
1994-07-01,706.85
1994-08-01,724.85
1994-09-01,758.95
1994-10-01,760.88
1994-11-01,772.19
1994-12-01,741.2
1995-01-01,743.58
1995-02-01,758.31
1995-03-01,791.87
1995-04-01,818.05
1995-05-01,841.63
1995-06-01,868.82
1995-07-01,934.53
1995-08-01,991.11
1995-09-01,1019.47
1995-10-01,1027.57
1995-11-01,1040.5
1995-12-01,1055.31
1996-01-01,1058.65
1996-02-01,1069.46
1996-03-01,1086.08
1996-04-01,1106.57
1996-05-01,1199.66
1996-06-01,1238.73
1996-07-01,1197.45
1996-08-01,1098.85
1996-09-01,1142.29
1996-10-01,1221.51
1996-11-01,1221.78
1996-12-01,1299.82
1997-01-01,1280.7
1997-02-01,1376.05
1997-03-01,1311.18
1997-04-01,1216.93
1997-05-01,1270.5
1997-06-01,1404.79
1997-07-01,1438.25
1997-08-01,1594.33
1997-09-01,1618.09
1997-10-01,1690.3
1997-11-01,1629.98
1997-12-01,1630.72
1998-01-01,1581.53
1998-02-01,1652.89
1998-03-01,1758.54
1998-04-01,1847.66
1998-05-01,1873.44
1998-06-01,1746.82
1998-07-01,1914.46
1998-08-01,1851.1
1998-09-01,1575.09
1998-10-01,1612.33
1998-11-01,1800.91
1998-12-01,2003.75
1999-01-01,2208.05
1999-02-01,2510.09
1999-03-01,2295.18
1999-04-01,2493.37
1999-05-01,2535.58
1999-06-01,2412.03
1999-07-01,2706.18
1999-08-01,2623.63
1999-09-01,2750.8
1999-10-01,2736.85
1999-11-01,2967.65
1999-12-01,3353.71
2000-01-01,4131.15
2000-02-01,4051.98
2000-03-01,4784.08
2000-04-01,4223.68
2000-05-01,3958.08
2000-06-01,3582.5
2000-07-01,3991.93
2000-08-01,3685.52
2000-09-01,4234.33
2000-10-01,3568.9
2000-11-01,3333.39
2000-12-01,2645.29
2001-01-01,2291.86
2001-02-01,2782.79
2001-03-01,2183.37
2001-04-01,1782.97
2001-05-01,2168.24
2001-06-01,2149.44
2001-07-01,2148.72
2001-08-01,2068.38
2001-09-01,1770.78
2001-10-01,1480.46
2001-11-01,1746.3
2001-12-01,1904.9
2002-01-01,1979.25
2002-02-01,1911.24
2002-03-01,1802.74
2002-04-01,1862.62
2002-05-01,1677.53
2002-06-01,1562.56
2002-07-01,1403.8
2002-08-01,1280.0
2002-09-01,1263.84
2002-10-01,1213.72
2002-11-01,1360.7
2002-12-01,1484.78
2003-01-01,1384.85
2003-02-01,1335.76
2003-03-01,1316.85
2003-04-01,1356.37
2003-05-01,1478.85
2003-06-01,1586.48
2003-07-01,1641.77
2003-08-01,1714.01
2003-09-01,1841.48
2003-10-01,1832.25
2003-11-01,1969.26
2003-12-01,1989.82
2004-01-01,1999.77
2004-02-01,2085.49
2004-03-01,2057.8
2004-04-01,2019.09
2004-05-01,1926.09
2004-06-01,1972.71
2004-07-01,2006.67
2004-08-01,1893.13
2004-09-01,1850.41
2004-10-01,1942.2
2004-11-01,1979.87
2004-12-01,2138.23
2005-01-01,2152.15
2005-02-01,2068.7
2005-03-01,2071.25
2005-04-01,1984.81
2005-05-01,1928.65
2005-06-01,2087.86
2005-07-01,2057.37
2005-08-01,2195.38
2005-09-01,2147.9
2005-10-01,2155.43
2005-11-01,2114.5
2005-12-01,2267.17
2006-01-01,2243.74
2006-02-01,2310.56
2006-03-01,2314.64
2006-04-01,2336.74
2006-05-01,2304.79
2006-06-01,2219.86
2006-07-01,2190.43
2006-08-01,2061.99
2006-09-01,2193.16
2006-10-01,2237.6
2006-11-01,2334.35
2006-12-01,2413.21
2007-01-01,2423.16
2007-02-01,2468.38
2007-03-01,2404.21
2007-04-01,2422.26
2007-05-01,2531.53
2007-06-01,2613.92
2007-07-01,2632.3
2007-08-01,2553.87
2007-09-01,2630.24
2007-10-01,2740.99
2007-11-01,2794.83
2007-12-01,2637.13
2008-01-01,2609.63
2008-02-01,2413.36
2008-03-01,2258.6
2008-04-01,2362.75
2008-05-01,2480.71
2008-06-01,2491.53
2008-07-01,2304.97
2008-08-01,2310.96
2008-09-01,2349.24
2008-10-01,2069.4
2008-11-01,1726.33
2008-12-01,1398.07
2009-01-01,1632.21
2009-02-01,1494.43
2009-03-01,1322.85
2009-04-01,1551.6
2009-05-01,1719.2
2009-06-01,1828.68
2009-07-01,1845.72
2009-08-01,2008.61
2009-09-01,1968.89
2009-10-01,2057.48
2009-11-01,2049.2
2009-12-01,2175.81
2010-01-01,2308.42
2010-02-01,2171.2
2010-03-01,2273.57
2010-04-01,2402.58
2010-05-01,2498.74
2010-06-01,2222.33
2010-07-01,2101.36
2010-08-01,2295.36
2010-09-01,2176.84
2010-10-01,2370.75
2010-11-01,2504.84
2010-12-01,2549.43
2011-01-01,2691.52
2011-02-01,2751.19
2011-03-01,2737.41
2011-04-01,2789.6
2011-05-01,2864.08
2011-06-01,2769.19
2011-07-01,2816.03
2011-08-01,2744.61
2011-09-01,2546.04
2011-10-01,2335.83
2011-11-01,2606.96
2011-12-01,2626.2
2012-01-01,2648.72
2012-02-01,2848.27
2012-03-01,2988.97
2012-04-01,3119.7
2012-05-01,3050.44
2012-06-01,2747.48
2012-07-01,2951.24
2012-08-01,2920.21
2012-09-01,3075.06
2012-10-01,3113.53
2012-11-01,3020.06
2012-12-01,3002.2
2013-01-01,3112.26
2013-02-01,3179.1
2013-03-01,3169.74
2013-04-01,3239.17
2013-05-01,3299.13
2013-06-01,3465.37
2013-07-01,3434.49
2013-08-01,3675.74
2013-09-01,3612.61
2013-10-01,3817.98
2013-11-01,3922.04
2013-12-01,4045.26
2014-01-01,4143.07
2014-02-01,3996.96
2014-03-01,4277.3
2014-04-01,4268.04
2014-05-01,4127.45
2014-06-01,4237.2
2014-07-01,4458.65
2014-08-01,4352.64
2014-09-01,4598.19
2014-10-01,4422.09
2014-11-01,4638.91
2014-12-01,4727.35
2015-01-01,4726.81
2015-02-01,4676.69
2015-03-01,5008.1
2015-04-01,4880.23
2015-05-01,5005.39
2015-06-01,5082.93
2015-07-01,5013.12
2015-08-01,5115.38
2015-09-01,4636.1
2015-10-01,4627.08
2015-11-01,5127.15
2015-12-01,5156.31
2016-01-01,4903.09
2016-02-01,4620.37
2016-03-01,4689.6
2016-04-01,4914.54
2016-05-01,4817.59
2016-06-01,4952.25
2016-07-01,4862.57
2016-08-01,5184.2
2016-09-01,5227.21
2016-10-01,5300.87
2016-11-01,5153.58
2016-12-01,5251.11
2017-01-01,5429.08
2017-02-01,5642.65
2017-03-01,5904.03
2017-04-01,5894.68
2017-05-01,6091.6
2017-06-01,6246.83
2017-07-01,6110.06
2017-08-01,6362.94
2017-09-01,6435.33
2017-10-01,6516.72
2017-11-01,6716.53
2017-12-01,6847.59
2018-01-01,7006.9
2018-02-01,7385.86
2018-03-01,7180.56
2018-04-01,6870.12
2018-05-01,7130.7
2018-06-01,7554.33
2018-07-01,7567.69
2018-08-01,7707.29
2018-09-01,8091.25
2018-10-01,8037.3
2018-11-01,7434.06
2018-12-01,7441.51
2019-01-01,6665.94
2019-02-01,7263.87
2019-03-01,7595.35
2019-04-01,7828.91
2019-05-01,8049.64
2019-06-01,7333.02
2019-07-01,8091.16
2019-08-01,8111.12
2019-09-01,7874.16
2019-10-01,7908.67
2019-11-01,8386.4
2019-12-01,8567.99
2020-01-01,9092.19
2020-02-01,9273.4
2020-03-01,8952.16
2020-04-01,7360.58
2020-05-01,8604.95
2020-06-01,9552.05
2020-07-01,10154.63
2020-08-01,10902.8
2020-09-01,11939.67
2020-10-01,11326.61
2020-11-01,10957.61
2020-12-01,12355.11
2021-01-01,12698.45
2021-02-01,13403.39
2021-03-01,13588.83
2021-04-01,13480.11
2021-05-01,13895.12
2021-06-01,13736.48
2021-07-01,14522.38
2021-08-01,14681.07
2021-09-01,15309.38
2021-10-01,14566.7
2021-11-01,15595.92
2021-12-01,15254.05
2022-01-01,15832.8
2022-02-01,14346.0
2022-03-01,13532.46
2022-04-01,14261.5
2022-05-01,12536.02
2022-06-01,11994.46
2022-07-01,11127.85
2022-08-01,12368.98
2022-09-01,11785.13
2022-10-01,10815.43
2022-11-01,10890.85
2022-12-01,11482.45
2023-01-01,10386.98
2023-02-01,11816.32
2023-03-01,11379.48
2023-04-01,12189.45
2023-05-01,12212.6
2023-06-01,13100.98
2023-07-01,13816.77
2023-08-01,14283.91
2023-09-01,14031.81
2023-10-01,13307.77
2023-11-01,13061.47
2023-12-01,14305.03
2024-01-01,14765.94
2024-02-01,15361.64
2024-03-01,16274.94
2024-04-01,16396.83
2024-05-01,15605.48
2024-06-01,16828.67
2024-07-01,17879.3
2024-08-01,17194.15
2024-09-01,17136.3
2024-10-01,17910.36
2024-11-01,18239.92
2024-12-01,19403.95
2025-01-01,19280.79
2025-02-01,19391.96
2025-03-01,18350.19
2025-04-01,17449.89
2025-05-01,17710.74
2025-06-01,19242.61
2025-07-01,20202.89
2025-08-01,20650.13
2025-09-01,21279.63
2025-10-01,22755.16
2025-11-01,23834.72
