date,mode,count,count_sa,count_ma90,count_sa_ma90
2024-01-25,Metro-North Railroad,199560,174819.2534154259,166670.3,168366.225181606
2024-01-26,Metro-North Railroad,184511,172983.92682215534,167172.9111111111,168398.46370201348
2024-01-27,Metro-North Railroad,102600,174474.73522733385,167416.1888888889,168559.4567850441
2024-01-28,Metro-North Railroad,66794,155867.3955120386,165963.34444444443,168499.90131959214
2024-01-29,Metro-North Railroad,187702,189639.9768336917,165782.8,168846.53287254873
2024-01-30,Metro-North Railroad,207896,174419.35081749666,165778.8777777778,168939.13882099465
2024-01-31,Metro-North Railroad,204353,170901.8989412751,165756.6888888889,168902.37369001433
2024-02-01,Metro-North Railroad,189621,170908.01331083046,165712.7,168925.4368126637
2024-02-02,Metro-North Railroad,174044,170519.25292747357,166269.61111111112,169015.16210112395
2024-02-03,Metro-North Railroad,102310,182403.6475319341,166185.3777777778,169173.8766739067
2024-02-04,Metro-North Railroad,77083,175196.2655867797,164831.47777777776,169205.17892931154
2024-02-05,Metro-North Railroad,190181,191057.7899421826,164551.88888888888,169424.1318029614
2024-02-06,Metro-North Railroad,208252,177228.10901356765,164490.93333333332,169587.28364392542
2024-02-07,Metro-North Railroad,202871,179174.39859444485,164410.27777777778,169711.76286352208
2024-02-08,Metro-North Railroad,198010,171612.0025449795,164380.73333333334,169770.39935787162
2024-02-09,Metro-North Railroad,185475,177683.63248811563,165126.03333333333,169879.2669407687
2024-02-10,Metro-North Railroad,99942,176171.8396206515,165218.46666666667,169974.53073695648
2024-02-11,Metro-North Railroad,73614,160207.2889849439,163873.16666666666,169922.41622599977
2024-02-12,Metro-North Railroad,185118,186931.91327845148,163549.83333333334,170103.51676521834
2024-02-13,Metro-North Railroad,134355,131002.35491571065,162659.48888888888,169732.6395676954
2024-02-14,Metro-North Railroad,201686,171818.3924189058,162592.98888888888,169788.38296946144
2024-02-15,Metro-North Railroad,202704,174397.84061073267,162609.35555555555,169857.3759571234
2024-02-16,Metro-North Railroad,186547,180971.96240816306,163345.73333333334,170000.6175543859
2024-02-17,Metro-North Railroad,92423,172732.70855572372,163251.27777777778,170037.49174339708
2024-02-18,Metro-North Railroad,81659,203490.97177860246,161896.38888888888,170445.7860501745
2024-02-19,Metro-North Railroad,85973,118062.3479621918,160483.17777777778,169867.8216817543
2024-02-20,Metro-North Railroad,207099,205276.1404058336,160339.5,170308.98017647208
2024-02-21,Metro-North Railroad,201074,173516.75137851408,161377.1,170522.133525283
2024-02-22,Metro-North Railroad,195315,175803.7344364121,161356.4,170596.29205950437
2024-02-23,Metro-North Railroad,182348,177048.50590265743,162074.9111111111,170694.2245814794
2024-02-24,Metro-North Railroad,98942,172031.02317277662,162110.61111111112,170756.82425497798
2024-02-25,Metro-North Railroad,78248,167125.3879051049,160757.6222222222,170726.84890973082
2024-02-26,Metro-North Railroad,187542,185360.18714753102,160436.42222222223,171165.08872616873
2024-02-27,Metro-North Railroad,208042,174972.4464904826,160382.1222222222,171023.5484488028
2024-02-28,Metro-North Railroad,199671,181200.62688342994,160260.77777777778,171167.71234457404
2024-02-29,Metro-North Railroad,204828,176872.39095260325,160707.44444444444,171316.77529198385
2024-03-01,Metro-North Railroad,157348,156732.77247500615,161061.5,171211.37079952678
2024-03-02,Metro-North Railroad,85586,168962.64615167907,161156.9111111111,171261.59559850566
2024-03-03,Metro-North Railroad,85095,175510.69606944517,159868.1888888889,171333.65474286705
2024-03-04,Metro-North Railroad,188845,182933.51940717743,159476.85555555555,171467.4585937912
2024-03-05,Metro-North Railroad,204515,172104.44671875652,159403.95555555556,171554.87639511283
2024-03-06,Metro-North Railroad,198040,165310.3283428622,159331.22222222222,171475.36210862114
2024-03-07,Metro-North Railroad,197659,168870.78342607693,159321.44444444444,171488.93530338028
2024-03-08,Metro-North Railroad,192899,176069.7959943349,159823.15555555557,171554.48817059162
2024-03-09,Metro-North Railroad,97183,170589.1462402605,159989.35555555555,171570.62682694028
2024-03-10,Metro-North Railroad,77768,164534.91334301583,158730.0,171508.69716546967
2024-03-11,Metro-North Railroad,188108,178543.83423525197,158382.38888888888,171606.23525256754
2024-03-12,Metro-North Railroad,213584,174504.14420772006,158360.5888888889,171742.10787039643
2024-03-13,Metro-North Railroad,212582,182704.88069362575,158351.33333333334,171874.06394528167
2024-03-14,Metro-North Railroad,211962,176388.2953510755,158389.0,172034.98077661527
2024-03-15,Metro-North Railroad,199285,176696.00086170915,158947.57777777777,172098.58358149463
2024-03-16,Metro-North Railroad,129667,187847.9800937114,159404.96666666667,172262.4356421384
2024-03-17,Metro-North Railroad,86964,167989.864121234,158428.45555555556,172252.689885818
