Month,Agency,Police Force,Felony Type,Felony Count,Crimes per Million Riders
2022-10-01,NYCT,NYPD,Grand Larceny,108,0.81
2022-11-01,NYCT,NYPD,Burglary,0,0.0
2022-11-01,NYCT,NYPD,Felony Assault,46,0.36
2022-11-01,NYCT,NYPD,Murder,0,0.0
2022-11-01,NYCT,NYPD,Rape,2,0.02
2022-11-01,NYCT,NYPD,Robbery,60,0.47
2022-11-01,NYCT,NYPD,Grand Larceny,97,0.76
2022-12-01,NYCT,NYPD,Burglary,0,0.0
2022-12-01,NYCT,NYPD,Felony Assault,44,0.35
2022-12-01,NYCT,NYPD,Murder,1,0.01
2022-12-01,NYCT,NYPD,Rape,1,0.01
2022-12-01,NYCT,NYPD,Robbery,44,0.35
2022-12-01,NYCT,NYPD,Grand Larceny,108,0.85
2023-01-01,NYCT,NYPD,Burglary,0,0.0
2023-01-01,NYCT,NYPD,Felony Assault,43,0.35
2023-01-01,NYCT,NYPD,Murder,1,0.01
2023-01-01,NYCT,NYPD,Rape,1,0.01
2023-01-01,NYCT,NYPD,Robbery,46,0.37
2023-01-01,NYCT,NYPD,Grand Larceny,54,0.43
2023-02-01,NYCT,NYPD,Burglary,1,0.01
2023-02-01,NYCT,NYPD,Felony Assault,36,0.31
2023-02-01,NYCT,NYPD,Murder,0,0.0
2023-02-01,NYCT,NYPD,Rape,0,0.0
2023-02-01,NYCT,NYPD,Robbery,41,0.35
2023-02-01,NYCT,NYPD,Grand Larceny,91,0.77
2023-03-01,NYCT,NYPD,Burglary,3,0.02
2023-03-01,NYCT,NYPD,Felony Assault,53,0.38
2023-03-01,NYCT,NYPD,Murder,0,0.0
2023-03-01,NYCT,NYPD,Rape,0,0.0
2023-03-01,NYCT,NYPD,Robbery,53,0.38
2023-03-01,NYCT,NYPD,Grand Larceny,104,0.74
2023-04-01,NYCT,NYPD,Burglary,0,0.0
2023-04-01,NYCT,NYPD,Felony Assault,44,0.34
2023-04-01,NYCT,NYPD,Murder,3,0.02
2023-04-01,NYCT,NYPD,Rape,1,0.01
2023-04-01,NYCT,NYPD,Robbery,39,0.3
2023-04-01,NYCT,NYPD,Grand Larceny,80,0.62
2023-05-01,NYCT,NYPD,Burglary,1,0.01
2023-05-01,NYCT,NYPD,Felony Assault,57,0.4
