Rk,Player,PTS,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1964,Clyde Drexler,42,1988-04-14,25-297,POR,@,UTA,W 128-123,*,44,17,26,.654,17,25,.680,0,1,.000,8,9,.889,.701,1,5,6,6,1,1,4,4,42,32.7,4.9,,G,drexlcl01
1965,Clyde Drexler,42,1988-12-16,26-177,POR,@,PHO,L 125-132,*,40,15,30,.500,12,24,.500,3,6,.500,9,9,1.000,.618,7,4,11,3,2,0,4,4,42,31.6,7.2,,G,drexlcl01
1966,Clyde Drexler,42,1992-04-29,29-312,POR,@,LAL,L 119-121 (OT),*,46,14,23,.609,12,18,.667,2,5,.400,12,13,.923,.731,3,6,9,12,2,0,6,3,42,38.2,15.6,,G,drexlcl01
1967,Joe Dumars,42,1989-04-18,25-329,DET,@,CLE,W 118-102,*,37,18,26,.692,14,21,.667,4,5,.800,2,3,.667,.769,1,3,4,11,3,0,0,1,42,42.5,31.5,,G,dumarjo01
1968,Joe Dumars,42,1991-04-09,27-320,DET,@,MIL,L 95-105,*,39,19,24,.792,18,23,.783,1,1,1.000,3,3,1.000,.829,0,2,2,1,0,0,3,2,42,30.3,13.4,,G,dumarjo01
1969,Joe Dumars,42,1991-04-19,27-330,DET,@,ATL,W 126-120,*,38,16,23,.696,14,21,.667,2,2,1.000,8,10,.800,.766,1,0,1,3,2,0,2,1,42,33.9,14.4,,G,dumarjo01
1970,Joe Dumars,42,1994-02-05,30-257,DET,,NJN,L 100-107,*,45,12,23,.522,9,18,.500,3,5,.600,15,16,.938,.699,2,5,7,3,0,0,3,0,42,32.3,12.0,,G,dumarjo01
1971,Joe Dumars,42,1994-03-05,30-285,DET,@,MIL,L 108-117,*,39,16,25,.640,10,16,.625,6,9,.667,4,4,1.000,.785,2,4,6,4,3,0,3,2,42,35.5,18.0,,G,dumarjo01
1972,Tim Duncan,42,1999-12-09,23-228,SAS,,VAN,W 99-91,*,48,15,22,.682,15,22,.682,0,0,,12,14,.857,.746,5,9,14,4,2,1,3,2,42,39.7,15.6,9,F-C,duncati01
1973,Tim Duncan,42,2001-04-12,24-352,SAS,,SAC,L 105-107 (OT),*,50,17,31,.548,17,31,.548,0,0,,8,10,.800,.593,3,8,11,5,1,4,3,3,42,33.9,13.3,2,F-C,duncati01
1974,Kevin Durant,42,2008-04-16,19-200,SEA,@,GSW,W 126-121,*,43,18,25,.720,17,23,.739,1,2,.500,5,6,.833,.760,3,10,13,6,1,2,5,0,42,38.0,10.1,14,F-G,duranke01
1975,Kevin Durant,42,2013-01-11,24-104,OKC,@,LAL,W 116-101,*,39,16,25,.640,12,14,.857,4,11,.364,6,8,.750,.736,0,8,8,5,0,1,3,4,42,32.1,14.1,35,F-G,duranke01
1976,Kevin Durant,42,2013-10-30,25-031,OKC,@,UTA,W 101-98,*,39,9,24,.375,7,16,.438,2,8,.250,22,24,.917,.608,0,6,6,1,3,0,5,1,42,28.1,9.0,3,F-G,duranke01
1977,Kevin Durant,42,2014-02-23,25-147,OKC,,LAC,L 117-125,*,46,15,30,.500,13,24,.542,2,6,.333,10,12,.833,.595,0,3,3,10,2,0,5,3,42,29.9,8.8,1,F-G,duranke01
1978,Kevin Durant,42,2014-03-04,25-156,OKC,,PHI,W 125-92,*,33,14,20,.700,12,14,.857,2,6,.333,12,18,.667,.752,0,9,9,3,2,1,3,1,42,35.3,14.7,24,F-G,duranke01
1979,Kevin Durant,42,2014-03-11,25-163,OKC,,HOU,W 106-98,*,42,12,22,.545,7,14,.500,5,8,.625,13,16,.813,.723,0,5,5,4,0,1,3,3,42,31.0,15.7,12,F-G,duranke01
1980,Kevin Durant,42,2014-04-16,25-199,OKC,,DET,W 112-111,*,45,14,30,.467,13,25,.520,1,5,.200,13,15,.867,.574,2,2,4,6,0,0,3,3,42,27.8,4.9,3,F-G,duranke01
1981,Kevin Durant,42,2021-01-16,32-109,BRK,,ORL,W 122-115,*,40,16,26,.615,11,18,.611,5,8,.625,5,5,1.000,.745,0,4,4,5,2,2,6,0,42,32.3,8.9,10,F-G,duranke01
1982,Kevin Durant,42,2021-04-29,32-212,BRK,@,IND,W 130-113,*,36,16,24,.667,14,20,.700,2,4,.500,8,8,1.000,.763,0,3,3,10,1,0,2,3,42,37.3,16.5,14,F-G,duranke01
1983,Kevin Durant,42,2021-05-02,32-215,BRK,@,MIL,L 114-117,*,40,16,33,.485,9,20,.450,7,13,.538,3,4,.750,.604,2,8,10,2,1,0,5,3,42,24.9,8.6,-8,F-G,duranke01
1984,Kevin Durant,42,2021-05-30,32-243,BRK,@,BOS,W 141-126,*,40,14,20,.700,11,17,.647,3,3,1.000,11,11,1.000,.845,1,3,4,5,1,2,1,4,42,38.5,13.2,3,F-G,duranke01
1985,Kevin Durant,42,2025-03-21,36-173,PHO,,CLE,W 123-112,*,39,17,29,.586,13,20,.650,4,9,.444,4,4,1.000,.683,0,6,6,8,0,1,3,1,42,33.2,11.7,7,F-G,duranke01
1986,Anthony Edwards,42,2021-03-18,19-225,MIN,@,PHO,W 123-119,*,38,15,31,.484,11,18,.611,4,13,.308,8,13,.615,.572,3,4,7,3,2,0,2,2,42,28.9,5.1,9,G-F,edwaran01
1987,Anthony Edwards,42,2021-05-05,19-273,MIN,,MEM,L 135-139,*,38,17,22,.773,9,13,.692,8,9,.889,0,1,.000,.936,1,5,6,7,1,1,3,4,42,37.2,17.1,11,G-F,edwaran01
1988,Dale Ellis,42,1988-01-26,27-173,SEA,@,SAC,W 116-100,*,43,14,22,.636,9,16,.563,5,6,.833,9,10,.900,.795,3,1,4,3,1,1,2,0,42,36.0,16.4,,G-F,ellisda01
1989,Dale Ellis,42,1989-01-03,28-150,SEA,,LAL,W 116-106,*,46,16,24,.667,12,19,.632,4,5,.800,6,6,1.000,.788,2,4,6,1,3,0,3,3,42,33.7,12.3,,G-F,ellisda01
1990,Monta Ellis,42,2009-04-01,23-157,GSW,,SAC,W 143-141 (OT),*,49,16,35,.457,16,34,.471,0,1,.000,10,12,.833,.521,1,8,9,9,2,1,4,3,42,30.0,-0.5,4,G,ellismo01
1991,Monta Ellis,42,2009-11-25,24-030,GSW,@,SAS,L 104-118,*,44,16,25,.640,15,23,.652,1,2,.500,9,10,.900,.714,1,3,4,4,3,1,4,2,42,33.8,12.2,-21,G,ellismo01
1992,Joel Embiid,42,2018-11-09,24-238,PHI,,CHO,W 133-132 (OT),*,39,11,18,.611,10,16,.625,1,2,.500,19,22,.864,.759,2,16,18,4,0,4,3,4,42,39.8,13.9,9,C,embiijo01
1993,Joel Embiid,42,2019-01-02,24-292,PHI,@,PHO,W 132-127,*,36,12,23,.522,11,22,.500,1,1,1.000,17,19,.895,.670,4,14,18,2,3,2,4,3,42,37.5,7.5,6,C,embiijo01
1994,Joel Embiid,42,2021-01-20,26-310,PHI,,BOS,W 117-109,*,33,12,19,.632,11,14,.786,1,5,.200,17,21,.810,.744,0,10,10,2,1,1,1,2,42,36.2,18.7,15,C,embiijo01
1995,Joel Embiid,42,2021-02-27,26-348,PHI,,CLE,L 109-112 (OT),*,40,13,22,.591,11,19,.579,2,3,.667,14,16,.875,.723,3,10,13,6,1,2,3,4,42,38.1,17.9,5,C,embiijo01
1996,Joel Embiid,42,2021-11-27,27-256,PHI,,MIN,L 120-121 (2OT),*,45,12,23,.522,10,19,.526,2,4,.500,16,21,.762,.651,2,12,14,3,1,2,4,4,42,32.6,10.1,11,C,embiijo01
1997,Joel Embiid,42,2022-01-25,27-315,PHI,,NOP,W 117-107,*,33,12,24,.500,12,21,.571,0,3,.000,18,20,.900,.640,6,8,14,4,0,4,3,5,42,36.4,14.6,6,C,embiijo01
1998,Joel Embiid,42,2022-02-17,27-338,PHI,@,MIL,W 123-120,*,37,14,21,.667,11,17,.647,3,4,.750,11,14,.786,.773,2,12,14,5,1,0,6,5,42,33.2,14.1,13,C,embiijo01
1999,Joel Embiid,42,2022-11-12,28-241,PHI,,ATL,W 121-109,*,40,14,25,.560,13,19,.684,1,6,.167,13,16,.813,.655,0,10,10,6,2,2,4,5,42,33.5,9.2,22,C,embiijo01
2000,Joel Embiid,42,2023-01-02,28-292,PHI,,NOP,W 120-111,*,36,15,24,.625,13,21,.619,2,3,.667,10,10,1.000,.739,2,9,11,5,1,1,4,5,42,34.5,14.0,10,C,embiijo01
2001,Joel Embiid,42,2023-03-06,28-355,PHI,@,IND,W 147-143,*,37,11,16,.688,10,14,.714,1,2,.500,19,19,1.000,.862,1,4,5,3,2,1,4,4,42,36.3,6.7,-4,C,embiijo01
2002,Joel Embiid,42,2023-12-16,29-275,PHI,@,CHO,W 135-82,*,30,18,23,.783,18,22,.818,0,1,.000,6,6,1.000,.819,0,15,15,3,1,2,4,2,42,37.3,17.0,36,C,embiijo01
2003,Alex English,42,1981-03-18,27-072,DEN,@,KCK,W 126-124 (2OT),*,48,17,27,.630,17,27,.630,0,0,,8,8,1.000,.688,2,6,8,4,2,2,5,4,42,32.7,,,F,englial01
2004,Alex English,42,1983-04-24,29-109,DEN,@,PHO,W 117-112 (OT),*,48,16,29,.552,16,29,.552,0,0,,10,12,.833,.613,4,5,9,4,1,3,2,2,42,34.7,,,F,englial01
2005,Alex English,42,1985-04-07,31-092,DEN,,GSW,W 130-125,*,41,14,26,.538,14,26,.538,0,0,,14,16,.875,.636,4,6,10,8,1,0,3,3,42,35.6,7.3,,F,englial01
2006,Alex English,42,1985-12-30,31-359,DEN,,HOU,W 125-122,*,44,17,33,.515,17,33,.515,0,0,,8,11,.727,.555,5,5,10,6,3,1,4,3,42,32.2,7.9,,F,englial01
2007,Alex English,42,1986-01-13,32-008,DEN,@,MIL,W 119-115,*,39,16,24,.667,16,24,.667,0,0,,10,13,.769,.707,2,5,7,1,1,0,5,5,42,28.0,6.7,,F,englial01
2008,Alex English,42,1986-02-04,32-030,DEN,,POR,W 119-118,*,42,18,30,.600,18,30,.600,0,0,,6,6,1.000,.643,0,4,4,5,0,0,4,1,42,28.5,6.7,,F,englial01
2009,Alex English,42,1986-05-08,32-123,DEN,,HOU,L 122-126 (2OT),*,50,15,30,.500,15,30,.500,0,0,,12,13,.923,.588,4,3,7,2,0,2,3,4,42,28.5,7.5,,F,englial01
2010,Julius Erving,42,1984-02-08,33-351,PHI,,HOU,W 118-107,*,42,15,25,.600,14,24,.583,1,1,1.000,11,13,.846,.684,3,4,7,6,2,4,7,3,42,33.8,,,F-G,ervinju01
2011,Patrick Ewing,42,1988-04-08,25-247,NYK,@,CHI,L 122-131,*,39,16,20,.800,16,19,.842,0,1,.000,10,13,.769,.816,2,8,10,2,1,2,3,4,42,36.2,16.3,,C-F,ewingpa01
2012,Patrick Ewing,42,1991-01-10,28-158,NYK,,IND,L 122-129,*,35,12,21,.571,12,21,.571,0,0,,18,20,.900,.705,10,6,16,0,0,6,3,4,42,39.7,13.6,,C-F,ewingpa01
2013,Patrick Ewing,42,1994-01-13,31-161,NYK,@,DET,W 94-80,*,41,16,31,.516,16,31,.516,0,0,,10,14,.714,.565,7,9,16,2,2,5,3,4,42,35.0,19.1,,C-F,ewingpa01
2014,Michael Finley,42,2002-11-27,29-266,DAL,@,DET,W 102-82,*,39,13,28,.464,12,22,.545,1,6,.167,15,17,.882,.592,2,8,10,2,2,0,2,1,42,31.6,13.4,28,G-F,finlemi01
2015,Sleepy Floyd,42,1988-04-30,28-055,HOU,@,DAL,W 119-108,*,44,16,22,.727,15,21,.714,1,1,1.000,9,10,.900,.795,1,2,3,9,1,0,2,2,42,38.4,15.6,,G,floydsl01
2016,De'Aaron Fox,42,2023-02-24,25-066,SAC,@,LAC,W 176-175 (2OT),*,45,17,27,.630,15,23,.652,2,4,.500,6,11,.545,.660,0,5,5,12,5,0,3,3,42,38.6,7.4,-2,G,foxde01
2017,World B. Free,42,1979-12-07,25-363,SDC,@,LAL,W 116-108,*,45,15,28,.536,14,27,.519,1,1,1.000,11,13,.846,.623,1,0,1,4,0,1,1,1,42,30.4,,,G,freewo01
2018,World B. Free,42,1980-02-27,26-080,SDC,@,DET,W 129-113,*,45,16,27,.593,16,26,.615,0,1,.000,10,12,.833,.651,,,8,7,1,0,4,4,42,,,,G,freewo01
2019,Marc Gasol,42,2017-01-25,31-362,MEM,,TOR,W 101-99,*,38,14,25,.560,9,15,.600,5,10,.500,9,10,.900,.714,0,7,7,2,1,2,2,1,42,33.2,19.4,9,C,gasolma01
2020,Paul George,42,2017-11-10,27-192,OKC,,LAC,W 120-111,*,42,13,22,.591,9,15,.600,4,7,.571,12,15,.800,.734,0,9,9,7,3,0,3,4,42,36.6,14.1,27,F-G,georgpa01
2021,Paul George,42,2021-10-29,31-180,LAC,@,POR,L 92-111,*,34,15,24,.625,9,15,.600,6,9,.667,6,9,.667,.751,1,7,8,2,1,1,4,2,42,31.1,20.2,-10,F-G,georgpa01
2022,Paul George,42,2023-03-05,32-307,LAC,,MEM,W 135-129,*,35,12,23,.522,8,14,.571,4,9,.444,14,15,.933,.709,3,8,11,3,1,0,3,4,42,33.3,9.6,2,F-G,georgpa01
2023,George Gervin,42,1979-12-05,27-222,SAS,@,PHI,L 120-132,*,42,17,29,.586,16,26,.615,1,3,.333,7,10,.700,.629,,,7,5,3,0,,4,42,,,,G-F,gervige01
2024,George Gervin,42,1980-01-02,27-250,SAS,,PHO,W 118-109,*,39,18,26,.692,18,25,.720,0,1,.000,6,6,1.000,.733,0,4,4,2,2,0,2,3,42,32.4,,,G-F,gervige01
2025,George Gervin,42,1980-01-17,27-265,SAS,@,CLE,L 112-116,*,41,16,22,.727,14,18,.778,2,4,.500,8,13,.615,.758,0,4,4,0,1,1,2,3,42,30.7,,,G-F,gervige01
2026,George Gervin,42,1980-01-19,27-267,SAS,,WSB,W 130-117,*,43,18,34,.529,18,33,.545,0,1,.000,6,7,.857,.566,,,5,3,0,3,4,1,42,,,,G-F,gervige01
2027,George Gervin,42,1980-02-17,27-296,SAS,,MIL,W 135-134,*,38,18,24,.750,18,24,.750,0,0,,6,7,.857,.775,,,6,5,0,3,,3,42,,,,G-F,gervige01
2028,George Gervin,42,1980-11-01,28-188,SAS,@,GSW,L 108-123,*,39,16,24,.667,16,23,.696,0,1,.000,10,10,1.000,.739,3,2,5,3,1,1,3,4,42,33.5,,,G-F,gervige01
2029,George Gervin,42,1981-12-01,29-218,SAS,@,WSB,W 110-99,*,42,17,30,.567,17,30,.567,0,0,,8,10,.800,.610,,,3,6,2,0,1,1,42,,,,G-F,gervige01
2030,George Gervin,42,1981-12-30,29-247,SAS,,HOU,W 109-104,*,47,17,33,.515,17,33,.515,0,0,,8,9,.889,.568,,,13,3,1,1,3,2,42,,,,G-F,gervige01
2031,George Gervin,42,1982-02-09,29-288,SAS,,WSB,L 110-112,*,38,16,28,.571,16,28,.571,0,0,,10,13,.769,.623,,,2,2,1,1,2,2,42,,,,G-F,gervige01
2032,George Gervin,42,1982-11-11,30-198,SAS,@,SDC,L 105-109,*,38,16,27,.593,15,25,.600,1,2,.500,9,10,.900,.669,3,4,7,0,2,1,3,2,42,31.3,,,G-F,gervige01
2033,George Gervin,42,1983-02-25,30-304,SAS,@,KCK,W 131-125,*,39,12,17,.706,12,17,.706,0,0,,18,22,.818,.787,,,2,0,2,0,2,3,42,,,,G-F,gervige01
2034,George Gervin,42,1983-04-26,30-364,SAS,,DEN,W 152-133,*,35,17,22,.773,17,22,.773,0,0,,8,8,1.000,.823,5,5,10,2,1,0,2,3,42,37.6,,,G-F,gervige01
2035,George Gervin,42,1984-03-18,31-326,SAS,@,SDC,W 140-135,*,41,14,29,.483,14,29,.483,0,0,,14,15,.933,.590,3,3,6,6,0,1,3,2,42,31.0,,,G-F,gervige01
2036,George Gervin,42,1984-11-10,32-197,SAS,,CLE,W 127-103,*,27,18,23,.783,18,23,.783,0,0,,6,6,1.000,.819,1,1,2,1,0,1,0,0,42,35.5,22.5,,G-F,gervige01
2037,George Gervin,42,1985-01-25,32-273,SAS,@,HOU,W 122-107,*,38,21,26,.808,21,26,.808,0,0,,0,0,,.808,1,1,2,3,2,0,2,3,42,34.1,12.2,,G-F,gervige01
2038,Shai Gilgeous-Alexander,42,2021-02-24,22-227,OKC,,SAS,W 102-99,*,38,13,20,.650,7,9,.778,6,11,.545,10,11,.909,.845,0,8,8,4,0,1,4,1,42,34.3,17.8,15,G,gilgesh01
2039,Shai Gilgeous-Alexander,42,2022-11-16,24-127,OKC,@,WAS,W 121-120,*,35,14,22,.636,12,19,.632,2,3,.667,12,17,.706,.712,2,4,6,7,0,1,2,1,42,36.0,14.0,9,G,gilgesh01
2040,Shai Gilgeous-Alexander,42,2022-12-12,24-153,OKC,@,DAL,L 114-121,*,38,14,23,.609,13,21,.619,1,2,.500,13,13,1.000,.731,0,2,2,3,3,0,2,5,42,33.2,13.4,6,G,gilgesh01
2041,Shai Gilgeous-Alexander,42,2023-02-04,24-207,OKC,,HOU,W 153-121,*,30,14,23,.609,14,21,.667,0,2,.000,14,15,.933,.709,0,4,4,6,3,2,0,3,42,39.7,13.4,38,G,gilgesh01
2042,Shai Gilgeous-Alexander,42,2025-04-08,26-270,OKC,,LAL,W 136-120,*,37,14,26,.538,9,17,.529,5,9,.556,9,11,.818,.681,1,5,6,6,0,1,1,5,42,32.7,13.9,7,G,gilgesh01
2043,Ben Gordon,42,2009-04-20,26-016,CHI,@,BOS,L 115-118,*,44,14,24,.583,8,13,.615,6,11,.545,8,9,.889,.751,0,1,1,0,1,0,0,2,42,30.9,8.3,-1,G,gordobe01
2044,Danny Granger,42,2008-12-12,25-236,IND,@,DET,L 110-114,*,43,13,21,.619,10,14,.714,3,7,.429,13,13,1.000,.786,0,7,7,6,0,0,6,4,42,31.2,6.1,-5,F,grangda01
2045,Danny Granger,42,2009-01-11,25-266,IND,@,GSW,L 117-120,*,41,13,27,.481,11,21,.524,2,6,.333,14,14,1.000,.633,2,5,7,3,2,2,2,5,42,32.7,12.0,-7,F,grangda01
2046,Jalen Green,42,2023-01-23,20-348,HOU,,MIN,W 119-114,*,35,15,25,.600,9,13,.692,6,12,.500,6,10,.600,.714,2,2,4,4,1,1,1,0,42,34.4,16.6,19,G,greenja05
2047,Jalen Green,42,2024-03-19,22-039,HOU,@,WAS,W 137-114,*,36,12,21,.571,5,8,.625,7,13,.538,11,13,.846,.786,2,8,10,3,1,1,1,2,42,37.1,16.1,26,G,greenja05
2048,Jalen Green,42,2025-01-13,22-339,HOU,,MEM,W 120-118,*,40,13,18,.722,8,12,.667,5,6,.833,11,11,1.000,.919,0,3,3,4,1,0,3,1,42,35.9,13.8,8,G,greenja05
2049,Anfernee Hardaway,42,1995-11-08,24-113,ORL,,NJN,W 130-122 (3OT),*,54,13,21,.619,12,16,.750,1,5,.200,15,20,.750,.705,5,3,8,8,5,2,4,1,42,42.5,18.0,,G-F,hardaan01
2050,Anfernee Hardaway,42,1997-04-29,25-285,ORL,,MIA,W 88-75,*,48,16,30,.533,15,26,.577,1,4,.250,9,10,.900,.610,1,7,8,2,2,0,1,4,42,30.6,14.3,13,G-F,hardaan01
2051,Tim Hardaway Jr.,42,2021-04-29,29-044,DAL,@,DET,W 115-105,*,36,13,23,.565,7,13,.538,6,10,.600,10,10,1.000,.766,0,1,1,3,1,0,2,3,42,31.3,14.4,9,G,hardati02
2052,James Harden,42,2015-04-24,25-241,HOU,@,DAL,W 130-128,*,36,15,24,.625,10,17,.588,5,7,.714,7,7,1.000,.775,0,5,5,9,1,0,5,4,42,33.4,17.4,-1,G,hardeja01
2053,James Harden,42,2015-12-09,26-105,HOU,@,WAS,W 109-103,*,40,13,23,.565,8,14,.571,5,9,.556,11,12,.917,.743,2,7,9,7,2,2,7,4,42,33.9,15.9,7,G,hardeja01
2054,James Harden,42,2016-02-23,26-181,HOU,@,UTA,L 114-117 (OT),*,44,16,30,.533,14,23,.609,2,7,.286,8,10,.800,.610,1,4,5,4,2,0,5,5,42,26.3,6.0,2,G,hardeja01
2055,James Harden,42,2017-02-03,27-161,HOU,,CHI,W 121-117 (OT),*,44,13,33,.394,8,20,.400,5,13,.385,11,14,.786,.536,1,11,12,9,1,1,2,4,42,31.3,10.4,-11,G,hardeja01
2056,James Harden,42,2018-03-20,28-206,HOU,@,POR,W 115-111,*,33,13,25,.520,8,18,.444,5,7,.714,11,15,.733,.665,0,6,6,7,0,0,4,3,42,29.6,12.6,-5,G,hardeja01
2057,James Harden,42,2019-01-09,29-136,HOU,,MIL,L 109-116,*,41,13,30,.433,7,14,.500,6,16,.375,10,11,.909,.603,1,10,11,6,2,1,9,4,42,25.8,7.6,2,G,hardeja01
2058,James Harden,42,2019-02-09,29-167,HOU,,OKC,L 112-117,*,37,11,28,.393,5,12,.417,6,16,.375,14,15,.933,.607,0,2,2,1,1,0,5,2,42,22.9,3.6,-9,G,hardeja01
2059,James Harden,42,2019-02-13,29-171,HOU,@,MIN,L 111-121,*,40,15,34,.441,7,12,.583,8,22,.364,4,4,1.000,.587,2,3,5,6,0,0,6,2,42,23.9,7.5,-14,G,hardeja01
2060,James Harden,42,2019-03-03,29-189,HOU,@,BOS,W 115-104,*,39,14,31,.452,8,13,.615,6,18,.333,8,9,.889,.601,0,7,7,4,2,1,4,6,42,26.7,7.3,13,G,hardeja01
2061,James Harden,42,2019-11-09,30-075,HOU,@,CHI,W 117-94,*,36,12,27,.444,3,8,.375,9,19,.474,9,11,.818,.660,1,9,10,9,2,0,6,1,42,32.4,16.0,36,G,hardeja01
2062,James Harden,42,2020-02-11,30-169,HOU,,BOS,W 116-105,*,39,9,19,.474,2,3,.667,7,16,.438,17,18,.944,.780,0,8,8,7,1,1,6,5,42,32.9,14.9,24,G,hardeja01
2063,James Harden,42,2023-05-07,33-254,PHI,,BOS,W 116-115 (OT),*,47,16,23,.696,10,14,.714,6,9,.667,4,4,1.000,.848,0,8,8,9,4,1,1,2,42,43.9,28.1,-6,G,hardeja01
2064,Derek Harper,42,1989-12-29,28-077,DAL,,POR,L 140-144 (3OT),*,52,15,26,.577,11,18,.611,4,8,.500,8,8,1.000,.711,0,3,3,5,4,2,3,4,42,35.0,15.6,,G,harpede01
2065,Al Harrington,42,2009-10-31,29-256,NYK,,PHI,L 127-141 (OT),,36,16,23,.696,15,18,.833,1,5,.200,9,11,.818,.754,2,4,6,2,0,0,4,6,42,29.1,4.7,9,F,harrial01
2066,Devin Harris,42,2009-02-25,25-364,NJN,,CHI,W 111-99,*,41,14,23,.609,11,15,.733,3,8,.375,11,11,1.000,.754,0,4,4,6,0,0,2,4,42,33.3,11.7,19,G,harride01
2067,Elvin Hayes,42,1980-03-04,34-108,WSB,,DET,W 135-107,*,39,18,27,.667,18,27,.667,0,,,6,6,1.000,.709,,,10,3,,,,2,42,,,,F-C,hayesel01
2068,Buddy Hield,42,2020-01-27,27-041,SAC,@,MIN,W 133-129 (OT),,38,14,24,.583,5,10,.500,9,14,.643,5,5,1.000,.802,1,4,5,3,0,0,2,3,42,31.6,12.4,19,G-F,hieldbu01
2069,Grant Hill,42,2000-01-03,27-090,DET,@,ORL,W 118-106,*,44,17,30,.567,14,25,.560,3,5,.600,5,7,.714,.635,3,4,7,8,2,1,3,2,42,34.8,13.8,14,F-G,hillgr01
2070,Grant Hill,42,2000-01-05,27-092,DET,@,ATL,W 120-108,*,43,14,23,.609,13,22,.591,1,1,1.000,13,15,.867,.709,1,2,3,6,2,1,1,1,42,37.5,15.9,20,F-G,hillgr01
2071,Juwan Howard,42,1996-04-19,23-072,WSB,@,TOR,L 103-107,*,42,19,29,.655,18,28,.643,1,1,1.000,3,8,.375,.646,3,6,9,4,2,0,5,4,42,29.4,6.8,,F-C,howarju01
2072,Brandon Ingram,42,2023-04-09,25-219,NOP,@,MIN,L 108-113,*,42,16,28,.571,15,25,.600,1,3,.333,9,9,1.000,.657,3,9,12,7,2,1,4,2,42,36.4,15.1,7,F,ingrabr01
2073,Kyrie Irving,42,2017-05-23,25-061,CLE,,BOS,W 112-99,*,41,15,22,.682,11,15,.733,4,7,.571,8,9,.889,.809,0,3,3,4,0,0,3,2,42,32.1,8.8,9,G,irvinky01
2074,Kyrie Irving,42,2022-04-05,30-013,BRK,,HOU,W 118-105,*,40,13,24,.542,5,8,.625,8,16,.500,8,8,1.000,.763,0,3,3,6,2,1,4,2,42,33.4,16.2,21,G,irvinky01
2075,Kyrie Irving,42,2024-01-15,31-298,DAL,,NOP,W 125-120,*,41,13,28,.464,10,19,.526,3,9,.333,13,15,.867,.607,0,7,7,7,0,1,3,1,42,31.1,5.6,7,G,irvinky01
2076,Kyrie Irving,42,2025-02-12,32-326,DAL,,GSW,W 111-107,*,40,15,25,.600,8,15,.533,7,10,.700,5,5,1.000,.772,1,6,7,0,1,0,3,2,42,30.2,10.3,8,G,irvinky01
2077,Allen Iverson,42,1999-12-23,24-199,PHI,@,NJN,L 94-99,*,46,11,26,.423,8,19,.421,3,7,.429,17,20,.850,.603,0,3,3,0,1,0,2,3,42,25.7,10.6,-5,G,iversal01
2078,Allen Iverson,42,2001-02-16,25-254,PHI,,LAC,W 108-93,*,44,16,31,.516,14,26,.538,2,5,.400,8,12,.667,.579,3,1,4,4,4,1,1,2,42,33.2,17.5,16,G,iversal01
2079,Allen Iverson,42,2002-03-03,26-269,PHI,@,TOR,W 96-84,*,44,16,37,.432,16,31,.516,0,6,.000,10,10,1.000,.507,1,3,4,5,5,0,3,1,42,29.2,9.1,14,G,iversal01
2080,Allen Iverson,42,2002-04-28,26-325,PHI,,BOS,W 108-103,*,45,10,23,.435,7,18,.389,3,5,.600,19,20,.950,.660,0,5,5,4,5,0,3,3,42,34.6,13.4,10,G,iversal01
2081,Allen Iverson,42,2003-03-31,27-297,PHI,@,ORL,W 118-113 (OT),*,50,15,31,.484,13,28,.464,2,3,.667,10,14,.714,.565,2,4,6,6,3,0,5,2,42,28.7,10.2,6,G,iversal01
2082,Allen Iverson,42,2003-04-15,27-312,PHI,@,CHI,L 106-115,*,43,11,28,.393,8,20,.400,3,8,.375,17,18,.944,.585,4,4,8,6,2,0,3,2,42,32.8,9.8,-17,G,iversal01
2083,Allen Iverson,42,2005-11-16,30-162,PHI,@,TOR,W 121-115,*,45,16,26,.615,15,23,.652,1,3,.333,9,11,.818,.681,0,0,0,7,3,0,4,3,42,32.1,5.6,9,G,iversal01
2084,Allen Iverson,42,2005-12-10,30-186,PHI,@,NJN,W 107-95,*,47,15,28,.536,11,21,.524,4,7,.571,8,13,.615,.623,0,5,5,12,4,0,6,0,42,34.3,10.0,12,G,iversal01
2085,Allen Iverson,42,2006-02-15,30-253,PHI,,SAS,W 103-100 (OT),*,51,17,37,.459,17,37,.459,0,0,,8,8,1.000,.518,1,7,8,9,2,0,4,4,42,28.4,4.9,9,G,iversal01
2086,Jaren Jackson Jr.,42,2025-03-01,25-167,MEM,,SAS,L 128-130,*,35,15,25,.600,10,17,.588,5,8,.625,7,8,.875,.736,1,3,4,2,2,2,2,3,42,33.3,11.6,10,F,jacksja02
2087,Stephen Jackson,42,2004-03-12,25-342,ATL,,WAS,W 138-124,*,45,14,24,.583,10,19,.526,4,5,.800,10,10,1.000,.739,1,1,2,7,2,1,2,0,42,37.4,8.3,17,F-G,jacksst02
2088,LeBron James,42,2008-03-12,23-073,CLE,@,NJN,L 99-104,*,46,12,23,.522,10,16,.625,2,7,.286,16,23,.696,.634,3,8,11,7,1,2,6,5,42,31.7,10.0,-4,F-G,jamesle01
2089,LeBron James,42,2009-03-02,24-062,CLE,@,MIA,W 107-100,*,44,13,21,.619,7,14,.500,6,7,.857,10,10,1.000,.827,1,7,8,4,1,1,6,4,42,32.2,12.6,8,F-G,jamesle01
