Rk,Player,PTS,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
212,Billy Knight,52,1980-11-11,28-155,IND,@,SAS,W 119-113,*,39,19,30,.633,19,30,.633,0,0,,14,16,.875,.702,,,5,0,5,0,,1,52,,,,G-F,knighbi01
213,Karl Malone,52,1989-12-22,26-151,UTA,@,CHH,W 114-100,*,43,22,28,.786,22,28,.786,0,0,,8,12,.667,.781,3,14,17,3,2,0,2,3,52,46.8,18.2,,F,malonka01
214,Tyrese Maxey,52,2024-04-07,23-155,PHI,@,SAS,W 133-126 (2OT),*,54,19,41,.463,17,31,.548,2,10,.200,12,12,1.000,.562,0,5,5,7,2,0,1,2,52,37.5,5.4,14,G,maxeyty01
215,Tracy McGrady,52,2003-02-21,23-273,ORL,,CHI,W 110-96,*,33,15,32,.469,9,19,.474,6,13,.462,16,20,.800,.637,1,4,5,3,3,1,1,5,52,38.7,28.4,20,G-F,mcgratr01
216,Andre Miller,52,2010-01-30,33-317,POR,@,DAL,W 114-112 (OT),*,42,22,31,.710,21,30,.700,1,1,1.000,7,8,.875,.753,1,4,5,2,2,0,2,2,52,41.2,20.3,4,G,millean02
217,Ja Morant,52,2022-02-28,22-202,MEM,,SAS,W 118-105,*,34,22,30,.733,18,26,.692,4,4,1.000,4,7,.571,.786,1,6,7,2,0,0,4,1,52,38.1,18.6,23,G,moranja01
218,Mike Newlin,52,1979-12-16,30-348,NJN,,BOS,L 112-115 (OT),*,49,19,28,.679,18,25,.720,1,3,.333,13,15,.867,.751,3,3,6,3,1,0,4,3,52,40.1,,,G-F,newlimi01
219,Hakeem Olajuwon,52,1990-04-19,27-088,HOU,,DEN,L 127-130 (OT),*,42,21,34,.618,21,34,.618,0,0,,10,13,.769,.655,6,12,18,4,3,3,11,6,52,37.7,7.3,,C,olajuha01
220,Michael Redd,52,2007-03-04,27-192,MIL,,CHI,L 121-126 (OT),*,44,18,32,.563,10,19,.526,8,13,.615,8,9,.889,.723,1,2,3,2,3,0,4,2,52,37.3,16.5,-12,G,reddmi01
221,David Robinson,52,1993-01-16,27-163,SAS,,CHH,W 124-111,*,40,20,28,.714,19,26,.731,1,2,.500,11,15,.733,.751,3,11,14,3,0,7,2,3,52,48.0,22.7,,C,robinda01
222,Brandon Roy,52,2008-12-18,24-148,POR,,PHO,W 124-119,*,44,14,27,.519,9,20,.450,5,7,.714,19,21,.905,.717,1,4,5,6,0,1,0,1,52,44.3,17.9,12,G,roybr01
223,D'Angelo Russell,52,2019-11-08,23-258,GSW,@,MIN,L 119-125 (OT),*,40,19,37,.514,12,20,.600,7,17,.412,7,8,.875,.642,0,9,9,5,3,2,3,0,52,40.9,22.3,-2,G,russeda01
224,Pascal Siakam,52,2022-12-21,28-263,TOR,@,NYK,W 113-106,*,41,17,25,.680,15,19,.789,2,6,.333,16,18,.889,.790,3,6,9,7,1,0,1,2,52,48.5,28.4,8,F-C,siakapa01
