Season,Team Name,3PA/G,W/L%,average
2019,Philadelphia 76ers,31.6,0.589,False
2016,Brooklyn Nets,31.6,0.244,False
2019,Los Angeles Lakers,31.6,0.732,False
2022,Cleveland Cavaliers,31.6,0.622,False
2019,Memphis Grizzlies,31.5,0.466,False
2023,Los Angeles Lakers,31.4,0.573,False
2020,Memphis Grizzlies,31.4,0.528,False
2018,Denver Nuggets,31.4,0.659,False
2025,Los Angeles Lakers,31.3,0.778,False
2023,Orlando Magic,31.3,0.573,False
2019,Golden State Warriors,31.3,0.231,False
2016,Golden State Warriors,31.2,0.817,False
2020,Los Angeles Lakers,31.2,0.583,False
2023,Denver Nuggets,31.2,0.695,False
2022,Denver Nuggets,31.2,0.646,False
2022,Los Angeles Lakers,31.2,0.524,False
2022,Orlando Magic,31.1,0.415,False
2017,Chicago Bulls,31.1,0.329,False
2017,Atlanta Hawks,31.0,0.293,False
2018,Los Angeles Lakers,31.0,0.451,False
2017,Denver Nuggets,30.9,0.561,False
2015,Houston Rockets,30.9,0.5,False
2018,Portland Trail Blazers,30.7,0.646,False
2021,Washington Wizards,30.6,0.427,False
2019,Denver Nuggets,30.6,0.63,False
2017,Miami Heat,30.6,0.537,False
2022,Atlanta Hawks,30.5,0.5,False
2025,Detroit Pistons,30.4,0.778,False
2025,Sacramento Kings,30.4,0.333,False
2020,New Orleans Pelicans,30.4,0.431,False
2017,Boston Celtics,30.4,0.671,False
2017,Oklahoma City Thunder,30.4,0.585,False
2018,Philadelphia 76ers,30.2,0.622,False
2016,Dallas Mavericks,30.2,0.402,False
2019,Oklahoma City Thunder,30.2,0.611,False
2020,Philadelphia 76ers,30.1,0.681,False
2022,New Orleans Pelicans,30.1,0.512,False
2020,New York Knicks,30.0,0.569,False
2018,Sacramento Kings,29.9,0.476,False
2018,New Orleans Pelicans,29.9,0.402,False
2017,Philadelphia 76ers,29.8,0.634,False
2016,Philadelphia 76ers,29.8,0.341,False
2025,Houston Rockets,29.8,0.625,False
2020,Cleveland Cavaliers,29.7,0.306,False
2015,Cleveland Cavaliers,29.6,0.695,False
2017,Utah Jazz,29.6,0.585,False
2018,New York Knicks,29.5,0.207,False
2015,Charlotte Hornets,29.4,0.585,False
2017,Orlando Magic,29.3,0.305,False
2018,Phoenix Suns,29.3,0.232,False
2018,Cleveland Cavaliers,29.1,0.232,False
2017,Los Angeles Lakers,29.1,0.427,False
2020,Washington Wizards,29.0,0.472,False
2017,Detroit Pistons,28.9,0.476,False
2012,New York Knicks,28.9,0.659,False
2017,Golden State Warriors,28.9,0.707,False
2012,Houston Rockets,28.9,0.549,False
2018,Memphis Grizzlies,28.9,0.402,False
2022,Chicago Bulls,28.9,0.488,False
2016,Denver Nuggets,28.8,0.488,False
2021,Chicago Bulls,28.8,0.561,False
2018,Minnesota Timberwolves,28.7,0.439,False
2016,Charlotte Hornets,28.6,0.439,False
2015,Dallas Mavericks,28.6,0.512,False
2015,Portland Trail Blazers,28.5,0.537,False
2019,San Antonio Spurs,28.5,0.451,False
2020,San Antonio Spurs,28.4,0.458,False
2015,Atlanta Hawks,28.4,0.585,False
2019,New York Knicks,28.4,0.318,False
2017,New Orleans Pelicans,28.2,0.585,False
2017,Portland Trail Blazers,28.1,0.598,False
2019,Indiana Pacers,28.0,0.616,False
2017,Phoenix Suns,27.9,0.256,False
2008,New York Knicks,27.9,0.39,False
2016,Portland Trail Blazers,27.7,0.5,False
2015,Philadelphia 76ers,27.5,0.122,False
2014,Cleveland Cavaliers,27.5,0.646,False
2016,Los Angeles Clippers,27.4,0.622,False
2009,Orlando Magic,27.3,0.72,False
2017,Charlotte Hornets,27.2,0.439,False
2014,Portland Trail Blazers,27.2,0.622,False
2011,Orlando Magic,27.0,0.561,False
2014,Golden State Warriors,27.0,0.817,False
2016,Miami Heat,27.0,0.5,False
2014,Los Angeles Clippers,26.9,0.683,False
2017,Los Angeles Clippers,26.8,0.512,False
2016,New Orleans Pelicans,26.8,0.415,False
2015,Los Angeles Clippers,26.7,0.646,False
2007,Golden State Warriors,26.6,0.585,False
2013,Houston Rockets,26.6,0.659,False
2017,Washington Wizards,26.5,0.524,False
2016,Memphis Grizzlies,26.5,0.524,False
2014,Philadelphia 76ers,26.3,0.22,False
2002,Boston Celtics,26.3,0.537,False
2017,Memphis Grizzlies,26.2,0.268,False
2014,Atlanta Hawks,26.2,0.732,False
2015,Detroit Pistons,26.2,0.537,False
2008,Orlando Magic,26.2,0.72,False
2009,New York Knicks,26.2,0.354,False
2015,Boston Celtics,26.1,0.585,False
2016,Orlando Magic,26.1,0.354,False
2016,Atlanta Hawks,26.1,0.524,False
2016,Utah Jazz,26.0,0.622,False
2018,Chicago Bulls,25.9,0.268,False
2018,Los Angeles Clippers,25.8,0.585,False
2015,Phoenix Suns,25.8,0.28,False
2016,Oklahoma City Thunder,25.8,0.573,False
2013,Atlanta Hawks,25.8,0.463,False
2016,Los Angeles Lakers,25.7,0.317,False
2010,Orlando Magic,25.6,0.634,False
2005,Phoenix Suns,25.6,0.659,False
2014,Dallas Mavericks,25.4,0.61,False
2018,Indiana Pacers,25.4,0.585,False
2010,New York Knicks,25.4,0.512,False
2007,Orlando Magic,25.3,0.634,False
2018,San Antonio Spurs,25.3,0.585,False
2013,Portland Trail Blazers,25.3,0.659,False
2014,Toronto Raptors,25.1,0.598,False
2013,Phoenix Suns,25.1,0.585,False
2014,Phoenix Suns,25.0,0.476,False
2014,Detroit Pistons,24.9,0.39,False
1995,Dallas Mavericks,24.9,0.317,False
2013,New York Knicks,24.9,0.451,False
2013,Golden State Warriors,24.8,0.622,False
2014,Denver Nuggets,24.8,0.366,False
2013,Los Angeles Lakers,24.8,0.329,False
2016,Washington Wizards,24.8,0.598,False
2004,Phoenix Suns,24.7,0.756,False
2017,Milwaukee Bucks,24.7,0.537,False
2016,New York Knicks,24.7,0.378,False
2014,Boston Celtics,24.6,0.488,False
2007,Indiana Pacers,24.6,0.439,False
2015,Los Angeles Lakers,24.6,0.207,False
2012,Los Angeles Lakers,24.6,0.549,False
2017,Indiana Pacers,24.5,0.585,False
2016,Toronto Raptors,24.3,0.622,False
2015,Washington Wizards,24.2,0.5,False
2017,San Antonio Spurs,24.1,0.573,False
2017,Sacramento Kings,24.0,0.329,False
2006,Golden State Warriors,24.0,0.512,False
2013,Los Angeles Clippers,24.0,0.695,False
2006,Phoenix Suns,24.0,0.744,False
2016,Sacramento Kings,23.9,0.39,False
2013,Denver Nuggets,23.9,0.439,False
2015,Utah Jazz,23.9,0.488,False
2015,New Orleans Pelicans,23.8,0.366,False
2016,Milwaukee Bucks,23.7,0.512,False
2001,Boston Celtics,23.7,0.598,False
2015,Oklahoma City Thunder,23.7,0.671,False
2015,Denver Nuggets,23.7,0.402,False
2003,Seattle SuperSonics,23.6,0.451,False
2016,San Antonio Spurs,23.5,0.744,False
2013,Brooklyn Nets,23.4,0.537,False
2013,Toronto Raptors,23.4,0.585,False
2016,Detroit Pistons,23.4,0.451,False
2015,Toronto Raptors,23.4,0.683,False
2017,New York Knicks,23.3,0.354,False
2011,New York Knicks,23.3,0.545,False
2012,Portland Trail Blazers,23.2,0.402,False
2012,Atlanta Hawks,23.2,0.537,False
2009,Indiana Pacers,23.1,0.39,False
2006,Houston Rockets,23.1,0.634,False
2015,Indiana Pacers,23.0,0.549,False
2016,Indiana Pacers,23.0,0.512,False
2013,Dallas Mavericks,22.9,0.598,False
1996,Miami Heat,22.7,0.744,False
