date,SP500,UMCSENT,SP500_yoy_change,UMCSENT_yoy_change,SP500_yoy_change_ma12,UMCSENT_yoy_change_ma12
1985-11-01,202.1699981689453,90.9,23.590901030644538,-5.015673981191215,15.923066581481534,-4.569273282492466
1985-12-01,211.27999877929688,93.9,26.3334081796194,1.0764262648008671,18.000800427693072,-4.364567555188643
1986-01-01,211.77999877929688,95.6,17.89789735710272,-0.4166666666666763,18.665129070066943,-4.057964436085525
1986-02-01,226.9199981689453,95.9,25.245616150904194,2.347918890074707,19.489164960517055,-3.5457405313171506
1986-03-01,238.8999938964844,95.1,32.23734587280427,1.4941302027748016,21.051096693233664,-2.8189194500628147
1986-04-01,235.52000427246097,96.2,30.9681376157275,1.6913319238900826,22.601888417269418,-2.5479022822811315
1986-05-01,247.3500061035156,94.8,30.493274661660188,3.267973856209161,22.984243437400476,-1.740402931878381
1986-06-01,250.83999633789065,99.3,30.747974124403264,2.901554404145079,23.442839614394902,-1.5858667664369708
1986-07-01,236.1199951171875,97.7,23.67483625693556,3.936170212765955,23.18887454826738,-1.0335599664428445
1986-08-01,252.92999267578125,94.9,34.08788958729843,2.7056277056277,24.932119148327114,-0.24468702191904412
1986-09-01,231.32000732421875,91.9,27.043060741427304,-0.21715526601518986,26.3839819193071,0.4640089094148408
1986-10-01,243.97999572753903,95.6,28.532286541751773,8.14479638009049,27.571052343356595,1.8263694938754782
1986-11-01,249.22000122070312,91.4,23.27249516638963,0.5500550055005604,27.54451852133535,2.2901802427664593
1986-12-01,242.1699981689453,89.1,14.620408731597978,-5.111821086261992,26.568435234000233,1.7744929635112214
1987-01-01,274.0799865722656,90.4,29.417314265779027,-5.439330543933041,27.528386643056592,1.3559376404056909
1987-02-01,284.20001220703125,90.2,25.242382557856402,-5.943691345151203,27.528117176969275,0.6649701208035319
1987-03-01,291.70001220703125,90.8,22.101305843241303,-4.5215562565720235,26.68344717450569,0.16366291585796314
1987-04-01,288.3599853515625,92.8,22.43545351586087,-3.53430353430354,25.972390166183477,-0.2718067056581721
1987-05-01,290.1000061035156,91.1,17.28320151409628,-3.9029535864978926,24.87155073721982,-0.8693839925504266
1987-06-01,304.0,91.5,21.1927939874871,-7.85498489425982,24.075285725810136,-1.7657622674175013
1987-07-01,318.6600036621094,93.7,34.95680596806587,-4.094165813715456,25.01544986840433,-2.4349569362909524
1987-08-01,329.79998779296875,94.4,30.391806959692367,-0.5268703898840932,24.70744298277049,-2.7043317775836013
1987-09-01,321.8299865722656,93.6,39.127605214532025,1.8498367791077053,25.714488355529216,-2.532082440490027
1987-10-01,251.7899932861328,89.3,3.201081111303683,-6.589958158995812,23.603554569658545,-3.759978652080553
1987-11-01,230.3000030517578,83.1,-7.591685288609806,-9.08096280087528,21.031539531741924,-4.5625634692785395
1987-12-01,247.0800018310547,86.8,2.0275028695685204,-2.581369248035914,19.982130709906134,-4.351692482759699
1988-01-01,257.07000732421875,90.8,-6.20620989543208,0.4424778761061843,17.013503696471876,-3.861541781089764
1988-02-01,267.82000732421875,91.6,-5.763548268562413,1.552106430155198,14.429676127603642,-3.236891966480897
1988-03-01,258.8900146484375,94.6,-11.247856080070084,4.185022026431717,11.650579300661027,-2.5113437762305852
1988-04-01,261.3299865722656,91.2,-9.373699595088569,-1.724137931034475,8.99981654141524,-2.36049664262483
1988-05-01,262.1600036621094,94.8,-9.631162307330833,4.061470911086729,6.756952889629648,-1.6967946011594448
1988-06-01,273.5,94.7,-10.032894736842103,3.49726775956285,4.154812162602213,-0.7507735466742225
1988-07-01,272.0199890136719,93.4,-14.636293890805375,-0.32017075773745907,0.022053841029609906,-0.43627395867605606
1988-08-01,261.5199890136719,97.4,-20.703457036559836,3.177966101694918,-4.23588482532474,-0.12753758437780507
1988-09-01,271.9100036621094,97.3,-15.51129011993011,3.952991452991461,-8.789126103196585,0.04772530511250787
1988-10-01,278.9700012207031,94.1,10.794713316379934,5.375139977603571,-8.15632341944023,1.0448168164957898
1988-11-01,273.70001220703125,93.0,18.844988528080787,11.913357400722035,-5.9532672680493475,2.7943434999622325
1988-12-01,277.7200012207031,91.9,12.40084149367906,5.87557603686637,-5.088822382706803,3.4990889403707564
1989-01-01,297.4700012207031,97.9,15.715561032186676,7.819383259911894,-3.262008138738573,4.113831055687899
1989-02-01,288.8599853515625,95.4,7.856014282709323,4.148471615720539,-2.1270445927992623,4.330194821151678
1989-03-01,294.8699951171875,94.3,13.897786099479115,-0.3171247357293794,-0.03157441117016191,3.9550159243049188
1989-04-01,309.6400146484375,91.5,18.486216874622883,0.3289473684210398,2.2900852946391255,4.126106365926212
1989-05-01,320.5199890136719,90.7,22.261208626919693,-4.32489451476793,4.9477828724933355,3.427242580438324
1989-06-01,317.9800109863281,90.6,16.26325813028451,-4.329461457233375,7.139128944753886,2.775015145705305
1989-07-01,346.0799865722656,92.0,27.225939471261242,-1.4989293361884481,10.627648391592771,2.6767852641677226
1989-08-01,351.45001220703125,89.6,34.38743766108754,-8.00821355236141,15.218556283063386,1.7446036263296956
1989-09-01,349.1499938964844,95.8,28.406454045125074,-1.541623843782114,18.878368296817985,1.286719018265231
1989-10-01,340.3599853515625,93.9,22.005944675854792,-0.2125398512220933,19.812637576774225,0.8210790325297589
1989-11-01,345.989990234375,90.9,26.41212086342999,-2.2580645161290214,20.443231938053323,-0.35987279387449583
1989-12-01,353.3999938964844,90.5,27.250465340319007,-1.5233949945593128,21.680700591939985,-0.9764537131599694
1990-01-01,329.0799865722656,93.0,10.62627667389895,-5.005107252298268,21.256593562082674,-2.0451612558441497
1990-02-01,331.8900146484375,89.5,14.896500546624525,-6.184486373165621,21.843300750742273,-2.9062410882513294
1990-03-01,339.94000244140625,91.3,15.284704469950228,-3.181336161187698,21.958877281614864,-3.144925373706189
1990-04-01,330.79998779296875,93.9,6.83373341412481,2.622950819672143,20.987836993240027,-2.953758419435264
1990-05-01,361.2300109863281,90.6,12.70124278299527,-0.11025358324145973,20.191173172912993,-2.6025383418080583
1990-06-01,358.0199890136719,88.3,12.591979572283662,-2.5386313465783683,19.88523329307959,-2.4533024992534744
1990-07-01,356.1499938964844,88.2,2.90973408313977,-4.130434782608694,17.858882844069466,-2.672594619788495
1990-08-01,322.55999755859375,76.4,-8.220234356235856,-14.732142857142849,14.308243509292518,-3.2329220618536145
1990-09-01,306.04998779296875,72.8,-12.344266606601707,-24.00835073068893,10.91235012164862,-5.105149302429183
1990-10-01,304.0,63.9,-10.68280259619996,-31.948881789137385,8.18828784897739,-7.749844463922123
1990-11-01,322.2200012207031,66.0,-6.870137774092822,-27.392739273927404,5.414766295850488,-9.844400693738654
1990-12-01,330.2200012207031,65.5,-6.559137825727013,-27.62430939226519,2.597299365346654,-12.019476893547479
1991-01-01,343.92999267578125,66.8,4.5125825663830055,-28.172043010752688,2.0878248563869914,-13.95005487341868
1991-02-01,367.0700073242187,70.4,10.599894881756677,-21.340782122905022,1.729774384314671,-15.213079519230297
1991-03-01,375.2200012207031,87.7,10.378301619674168,-3.943044906900317,1.3209074801249994,-15.276555248039683
1991-04-01,375.3399963378906,81.8,13.464331979600086,-12.886048988285415,1.8734573605812723,-16.56897189870281
1991-05-01,389.8299865722656,78.3,7.917386351108013,-13.576158940397354,1.474802657924001,-17.691130678465804
1991-06-01,371.1600036621094,82.1,3.6701902272656906,-7.021517553793888,0.7313202125058368,-18.064704529067097
1991-07-01,387.80999755859375,82.9,8.889514026304157,-6.00907029478458,1.2296352077695356,-18.221257488415088
1991-08-01,395.4299926757813,82.0,22.59114449055344,7.329842931937169,3.7972501116686437,-16.38275867265842
1991-09-01,387.8599853515625,83.0,26.730926587696892,14.010989010989006,7.053516211193528,-13.214480360851924
1991-10-01,392.4500122070313,78.3,29.095398752312928,22.535211267605625,10.368366323569601,-8.674139272790006
1991-11-01,375.2200012207031,69.1,16.448389236923223,4.696969696969688,12.311576907820937,-5.999996858548582
1991-12-01,417.0899963378906,68.2,26.30670304526097,4.122137404580162,15.050396980403269,-3.354459625478136
1992-01-01,408.7799987792969,67.5,18.85558325372598,1.0479041916167775,16.245647037681852,-0.9194640252806808
1992-02-01,412.7000122070313,68.8,12.43087257807729,-2.272727272727282,16.398228512375237,0.6695405455674642
1992-03-01,403.69000244140625,76.0,7.587548938777688,-13.34093500570126,16.165665788967196,-0.11361696266594763
1992-04-01,414.9500122070313,77.2,10.553102854906715,-5.623471882640585,15.923063361909414,0.4915977961377882
1992-05-01,415.3500061035156,79.2,6.546448557137663,1.1494252873563315,15.808818545745218,1.7187298151172616
1992-06-01,408.1400146484375,80.4,9.963360982179914,-2.0706455542021773,16.33324944198807,2.1313024817499047
1992-07-01,424.2099914550781,76.6,9.38603804069924,-7.599517490952968,16.374626443187662,1.998765215402539
1992-08-01,414.0299987792969,76.1,4.703741862789346,-7.195121951219519,14.88400955754065,0.7883514751394817
1992-09-01,417.7999877929687,75.6,7.719281073624562,-8.915662650602417,13.299705764701294,-1.122202829993137
1992-10-01,418.6799926757813,73.3,6.683648784017038,-6.38569604086846,11.432059934009969,-3.5322784390326443
1992-11-01,431.3500061035156,85.3,14.95922517461883,23.444283646888575,11.307962928817934,-1.9700022765394036
1992-12-01,435.7099914550781,91.0,4.464263175974903,33.43108504398826,9.48775960637743,0.47241002674460475
1993-01-01,438.7799987792969,89.3,7.3389109275371345,32.29629629629629,8.528036912528359,3.076442702134564
1993-02-01,443.3800048828125,86.6,7.433969413209174,25.872093023255815,8.111628315456015,5.421844393466489
1993-03-01,451.6700134277344,85.9,11.885360225955122,13.026315789473685,8.469779256054135,7.6191152930644
1993-04-01,440.19000244140625,85.6,6.082658029127108,10.880829015544036,8.097242187239168,8.994473701246452
1993-05-01,450.19000244140625,80.3,8.38810541132089,1.388888888888884,8.250713591754437,9.014429001374166
