date,SP500,UMCSENT,SP500_yoy_change,UMCSENT_yoy_change,yoy_change_diff
1998-05-01,1090.8199462890625,106.5,28.59196357519165,3.197674418604657,-25.394289156586993
1998-06-01,1133.8399658203125,105.6,28.097244171099224,1.0526315789473717,-27.04461259215185
1998-07-01,1120.6700439453125,105.2,17.43249539586893,-1.7740429505135324,-19.206538346382462
1998-08-01,957.280029296875,104.4,6.427124915416504,0.0,-6.427124915416504
1998-09-01,1017.010009765625,100.9,7.361073633158677,-4.8113207547169745,-12.172394387875652
1998-10-01,1098.6700439453125,97.4,20.123116683507792,-7.765151515151503,-27.888268198659297
1998-11-01,1163.6300048828125,102.7,21.795057059628565,-4.197761194029848,-25.992818253658413
1998-12-01,1229.22998046875,100.5,26.66858915596535,-1.5670910871694366,-28.235680243134787
1999-01-01,1279.6400146484375,103.9,30.538211164648963,-2.5328330206378924,-33.07104418528686
1999-02-01,1238.3299560546875,108.1,18.010368078055027,-2.083333333333348,-20.093701411388373
1999-03-01,1286.3699951171875,105.7,16.756977092551615,-0.7511737089201831,-17.5081508014718
1999-04-01,1335.1800537109375,104.6,20.097148973324707,-3.771849126034965,-23.868998099359672
1999-05-01,1301.8399658203125,106.8,19.345082591231844,0.28169014084507005,-19.06339245038677
1999-06-01,1372.7099609375,107.3,21.0673465672353,1.6098484848484862,-19.457498082386813
1999-07-01,1328.719970703125,106.0,18.564779872706684,0.7604562737642651,-17.804323598942418
1999-08-01,1320.4100341796875,104.5,37.933519322400635,0.09578544061301653,-37.83773388178762
1999-09-01,1282.7099609375,107.2,26.125598432714227,6.243805748265596,-19.88179268444863
1999-10-01,1362.9300537109375,103.2,24.05271821343833,5.954825462012314,-18.097892751426016
1999-11-01,1388.9100341796875,107.2,19.36010831205428,4.3816942551119675,-14.978414056942313
1999-12-01,1469.25,105.4,19.526046658878403,4.875621890547266,-14.650424768331138
2000-01-01,1394.4599609375,112.0,8.972831810093695,7.79595765158807,-1.1768741585056244
2000-02-01,1366.4200439453125,111.3,10.343776895999458,2.9602220166512483,-7.3835548793482095
2000-03-01,1498.5799560546875,107.1,16.496805875681808,1.3245033112582627,-15.172302564423546
2000-04-01,1452.4300537109375,109.2,8.781587148049486,4.397705544933084,-4.383881603116402
2000-05-01,1420.5999755859375,110.7,9.12247379736819,3.6516853932584414,-5.470788404109749
2000-06-01,1454.5999755859375,106.4,5.965572989104717,-0.8387698042870428,-6.8043427933917595
2000-07-01,1430.8299560546875,108.3,7.68483861182041,2.169811320754711,-5.515027291065699
2000-08-01,1517.6800537109375,107.3,14.940057590050436,2.6794258373205704,-12.260631752729866
2000-09-01,1436.510009765625,106.8,11.990243586766614,-0.3731343283582156,-12.363377915124829
2000-10-01,1429.4000244140625,105.8,4.876990607268716,2.519379844961245,-2.3576107623074716
2000-11-01,1314.949951171875,107.6,-5.32504490483392,0.3731343283581934,5.698179233192113
2000-12-01,1320.280029296875,98.4,-10.139184665858437,-6.641366223908918,3.4978184419495193
2001-01-01,1366.010009765625,94.7,-2.0402128400121344,-15.446428571428573,-13.406215731416438
2001-02-01,1239.93994140625,90.6,-9.25631200299668,-18.59838274932615,-9.342070746329469
2001-03-01,1160.3299560546875,91.5,-22.571368223188504,-14.565826330532206,8.005541892656298
2001-04-01,1249.4599609375,88.4,-13.974517551110422,-19.047619047619047,-5.073101496508626
2001-05-01,1255.8199462890625,92.0,-11.599326490830764,-16.892502258355925,-5.293175767525161
2001-06-01,1224.3800048828125,92.6,-15.827029737876108,-12.969924812030087,2.8571049258460217
2001-07-01,1211.22998046875,92.4,-15.347733995691115,-14.68144044321329,0.6662935524778248
2001-08-01,1133.5799560546875,91.5,-25.308370938727975,-14.725069897483689,10.583301041244287
2001-09-01,1040.93994140625,81.8,-27.53688214284804,-23.408239700374533,4.128642442473506
2001-10-01,1059.780029296875,82.7,-25.858401343507854,-21.833648393194704,4.02475295031315
2001-11-01,1139.449951171875,83.9,-13.346515572215923,-22.026022304832704,-8.679506732616781
2001-12-01,1148.0799560546875,88.8,-13.042693172742602,-9.756097560975618,3.286595611766984
2002-01-01,1130.199951171875,93.0,-17.262688919403267,-1.7951425554382339,15.467546363965033
2002-02-01,1106.72998046875,90.7,-10.74325912805284,0.11037527593820151,10.853634403991041
2002-03-01,1147.3900146484375,95.7,-1.1151949786979531,4.590163934426239,5.705358913124192
2002-04-01,1076.9200439453125,93.0,-13.809159347749455,5.203619909502266,19.012779257251722
2002-05-01,1067.1400146484375,96.9,-15.024441377776544,5.326086956521747,20.35052833429829
2002-06-01,989.8200073242188,92.4,-19.157450842317857,-0.21598272138227959,18.94146812093558
2002-07-01,911.6199951171876,88.1,-24.736011342421715,-4.653679653679665,20.08233168874205
2002-08-01,916.0700073242188,87.6,-19.18787885836395,-4.262295081967215,14.925583776396733
2002-09-01,815.280029296875,86.1,-21.6784756865532,5.256723716381417,26.935199402934614
2002-10-01,885.760009765625,80.6,-16.420390526391206,-2.539298669891188,13.881091856500017
2002-11-01,936.3099975585938,84.2,-17.82789611815425,0.35756853396899935,18.18546465212325
2002-12-01,879.8200073242188,86.7,-23.365963957103563,-2.3648648648648574,21.001099092238707
2003-01-01,855.7000122070312,82.4,-24.28773233269227,-11.397849462365583,12.889882870326685
2003-02-01,841.1500244140625,79.9,-23.996815911881452,-11.907386990077173,12.089428921804279
2003-03-01,848.1799926757812,77.6,-26.077446914538015,-18.913270637408573,7.164176277129442
2003-04-01,916.9199829101562,86.0,-14.857190367540529,-7.5268817204301115,7.330308647110417
2003-05-01,963.5900268554688,92.1,-9.703505291860193,-4.953560371517041,4.749944920343152
2003-06-01,974.5,89.7,-1.547756886187146,-2.922077922077926,-1.3743210358907798
2003-07-01,990.3099975585938,90.9,8.631886406933265,3.178206583427934,-5.453679823505332
2003-08-01,1008.010009765625,89.3,10.036351120146048,1.9406392694063967,-8.09571185073965
2003-09-01,995.969970703125,87.7,22.162929903003146,1.8583042973286945,-20.304625605674453
2003-10-01,1050.7099609375,89.6,18.62242022142333,11.166253101736977,-7.456167119686352
2003-11-01,1058.199951171875,93.7,13.018119418900408,11.282660332541571,-1.735459086358837
2003-12-01,1111.9200439453125,92.6,26.38039993281984,6.805074971164937,-19.575324961654903
2004-01-01,1131.1300048828125,103.8,32.18768128393372,25.970873786407743,-6.216807497525977
2004-02-01,1144.93994140625,94.4,36.11602070674667,18.1476846057572,-17.968336100989468
2004-03-01,1126.2099609375,95.8,32.77959521122498,23.453608247422686,-9.325986963802293
2004-04-01,1107.300048828125,94.2,20.762996713599048,9.534883720930232,-11.228112992668816
2004-05-01,1120.6800537109375,90.2,16.302579154758213,-2.062975027144398,-18.36555418190261
2004-06-01,1140.8399658203125,95.6,17.069262782997697,6.577480490523957,-10.49178229247374
2004-07-01,1101.719970703125,96.7,11.250009938220318,6.380638063806376,-4.869371874413941
2004-08-01,1104.239990234375,95.9,9.546530246373708,7.3908174692049355,-2.1557127771687723
2004-09-01,1114.5799560546875,94.2,11.908992122305385,7.411630558722915,-4.49736156358247
2004-10-01,1130.199951171875,91.7,7.565359917540881,2.34375,-5.221609917540881
2004-11-01,1173.8199462890625,92.8,10.926100968833662,-0.9605122732123883,-11.88661324204605
2004-12-01,1211.9200439453125,97.1,8.993452410946755,4.859611231101502,-4.133841179845254
2005-01-01,1181.27001953125,95.5,4.432736682078575,-7.996146435452789,-12.428883117531363
2005-02-01,1203.5999755859375,94.1,5.123415828051159,-0.31779661016950733,-5.441212438220666
2005-03-01,1180.5899658203125,92.6,4.828584968076877,-3.3402922755741193,-8.168877243650996
2005-04-01,1156.8499755859375,87.7,4.474841919338135,-6.900212314225051,-11.375054233563187
2005-05-01,1191.5,86.9,6.319372425212211,-3.658536585365846,-9.977909010578056
2005-06-01,1191.3299560546875,96.0,4.425685612974695,0.4184100418409997,-4.007275571133695
2005-07-01,1234.1800537109375,96.5,12.02302640690771,-0.20682523267838704,-12.229851639586098
2005-08-01,1220.3299560546875,89.1,10.513110089019007,-7.090719499478637,-17.603829588497643
2005-09-01,1228.81005859375,76.9,10.248713151401567,-18.365180467091292,-28.61389361849286
2005-10-01,1207.010009765625,74.2,6.7961477536879755,-19.083969465648853,-25.880117219336828
2005-11-01,1249.47998046875,81.6,6.445625193103988,-12.06896551724138,-18.514590710345367
2005-12-01,1248.2900390625,91.5,3.0010226581274946,-5.767250257466527,-8.768272915594022
2006-01-01,1280.0799560546875,91.2,8.364720587986074,-4.502617801047116,-12.86733838903319
2006-02-01,1280.6600341796875,86.7,6.402464286877008,-7.863974495217841,-14.266438782094848
2006-03-01,1294.8699951171875,88.9,9.679908571598727,-3.995680345572339,-13.675588917171066
2006-04-01,1310.6099853515625,87.4,13.291266197913565,-0.34207525655644,-13.633341454470004
2006-05-01,1270.0899658203125,79.1,6.595884668091689,-8.975834292289997,-15.571718960381688
2006-06-01,1270.199951171875,84.9,6.620331732308671,-11.562499999999998,-18.18283173230867
2006-07-01,1276.6600341796875,84.7,3.4419597319711226,-12.2279792746114,-15.669939006582522
2006-08-01,1303.8199462890625,82.0,6.841591474513753,-7.968574635241299,-14.810166109755052
2006-09-01,1335.8499755859375,85.4,8.71085944028518,11.05331599479844,2.3424565545132605
2006-10-01,1377.93994140625,93.6,14.161434475080782,26.145552560646877,11.984118085566095
2006-11-01,1400.6300048828125,92.1,12.097034508496707,12.867647058823529,0.7706125503268222
2006-12-01,1418.300048828125,91.7,13.619431738260701,0.21857923497268228,-13.400852503288018
2007-01-01,1438.239990234375,96.9,12.35548087692504,6.25,-6.105480876925039
2007-02-01,1406.8199462890625,91.3,9.85116336438072,5.305651672433664,-4.545511691947056
2007-03-01,1420.8599853515625,88.4,9.7299335616293,-0.5624296962879693,-10.29236325791727
2007-04-01,1482.3699951171875,87.1,13.10534878303644,-0.3432494279176357,-13.448598210954076
2007-05-01,1530.6199951171875,88.3,20.51272242975375,11.63084702907713,-8.881875400676622
2007-06-01,1503.3499755859375,85.3,18.355379733636457,0.4711425206124664,-17.88423721302399
2007-07-01,1455.27001953125,90.4,13.99041096060687,6.729634002361284,-7.260776958245585
2007-08-01,1473.989990234375,83.4,13.05165214181998,1.7073170731707332,-11.344335068649247
2007-09-01,1526.75,83.4,14.290528719763529,-2.3419203747072626,-16.632449094470793
2007-10-01,1549.3800048828125,80.9,12.441766025128809,-13.568376068376054,-26.01014209350486
2007-11-01,1481.1400146484375,76.1,5.748128305473577,-17.372421281216067,-23.12054958668964
2007-12-01,1468.3599853515625,75.5,3.5295730663479574,-17.666303162486376,-21.195876228834333
2008-01-01,1378.550048828125,78.4,-4.150207323641652,-19.091847265221872,-14.94163994158022
2008-02-01,1330.6300048828125,70.8,-5.415756409142858,-22.453450164293542,-17.037693755150684
2008-03-01,1322.699951171875,69.5,-6.908494516818964,-21.38009049773756,-14.471595980918595
2008-04-01,1385.5899658203125,62.6,-6.528736389407563,-28.128587830080363,-21.5998514406728
2008-05-01,1400.3800048828125,59.8,-8.508969610344309,-32.276330690826725,-23.767361080482416
2008-06-01,1280.0,56.4,-14.856818386476235,-33.88042203985931,-19.023603653383077
2008-07-01,1267.3800048828125,61.2,-12.911007038333533,-32.30088495575222,-19.389877917418683
2008-08-01,1282.8299560546875,63.0,-12.968882790668868,-24.460431654676263,-11.491548864007395
2008-09-01,1166.3599853515625,70.3,-23.605044352280167,-15.707434052757808,7.897610299522359
2008-10-01,968.75,57.6,-37.4749901930436,-28.80098887515451,8.674001317889093
2008-11-01,896.239990234375,55.3,-39.489853668756226,-27.33245729303547,12.157396375720754
2008-12-01,903.25,60.1,-38.485793060906715,-20.397350993377483,18.088442067529233
2009-01-01,825.8800048828125,61.2,-40.09067675236928,-21.938775510204078,18.151901242165206
2009-02-01,735.0900268554688,56.3,-44.756241467724344,-20.48022598870056,24.276015479023783
2009-03-01,797.8699951171875,57.3,-39.678685675440065,-17.55395683453238,22.124728840907686
2009-04-01,872.8099975585938,65.1,-37.00806017010502,3.9936102236421522,41.00167039374717
2009-05-01,919.1400146484376,68.7,-34.364957265627794,14.88294314381271,49.247900409440504
2009-06-01,919.3200073242188,70.8,-28.178124427795414,25.531914893617014,53.710039321412424
2009-07-01,987.47998046875,66.0,-22.084932958993875,7.843137254901955,29.92807021389583
2009-08-01,1020.6199951171876,65.7,-20.43996242057835,4.285714285714293,24.725676706292642
2009-09-01,1057.0799560546875,73.5,-9.36932256501718,4.551920341394022,13.921242906411202
2009-10-01,1036.18994140625,70.6,6.96154233870967,22.569444444444443,15.607902105734773
2009-11-01,1095.6300048828125,67.4,22.247390969052283,21.880650994575056,-0.36673997447722684
2009-12-01,1115.0999755859375,72.5,23.45419048834072,20.63227953410982,-2.8219109542309013
2010-01-01,1073.8699951171875,74.4,30.027363390346686,21.568627450980404,-8.458735939366282
2010-02-01,1104.489990234375,73.6,50.25234323462486,30.728241563055047,-19.524101671569813
2010-03-01,1169.4300537109375,73.6,46.56899756446875,28.446771378708547,-18.122226185760205
2010-04-01,1186.68994140625,72.2,35.96200143509296,10.906298003072212,-25.055703432020746
2010-05-01,1089.4100341796875,73.6,18.52492730352693,7.132459970887917,-11.392467332639013
2010-06-01,1030.7099609375,76.0,12.116559274881201,7.344632768361592,-4.771926506519609
2010-07-01,1101.5999755859375,67.8,11.55668948984825,2.7272727272727337,-8.829416762575516
2010-08-01,1049.3299560546875,68.9,2.8129922081531866,4.87062404870624,2.0576318405530536
2010-09-01,1141.199951171875,68.2,7.957770330935654,-7.210884353741498,-15.168654684677152
2010-10-01,1183.260009765625,67.7,14.19335031951585,-4.107648725212454,-18.300999044728304
2010-11-01,1180.550048828125,71.6,7.750795758317652,6.2314540059347,-1.5193417523829522
2010-12-01,1257.6400146484375,74.5,12.782713853760175,2.758620689655178,-10.024093164104997
