date,NASDAQCOM,UMCSENT,NASDAQCOM_yoy_change,UMCSENT_yoy_change,yoy_change_diff
1992-11-01,607.57,85.3,12.319523783114295,23.444283646888575,-11.12475986377428
1992-12-01,653.95,91.0,23.175302782015805,33.43108504398826,-10.255782261972456
1993-01-01,671.8,89.3,14.553670389632511,32.29629629629629,-17.74262590666378
1993-02-01,701.77,86.6,12.56596570585311,25.872093023255815,-13.306127317402705
1993-03-01,669.51,85.9,5.356665145482875,13.026315789473685,-7.66965064399081
1993-04-01,686.64,85.6,14.042751083725014,10.880829015544036,3.161922068180978
1993-05-01,666.71,80.3,15.31981872902759,1.388888888888884,13.930929840138706
1993-06-01,704.28,81.5,19.70018865679759,1.3681592039801016,18.332029452817487
1993-07-01,703.59,77.0,23.655951774196392,0.5221932114882533,23.133758562708138
1993-08-01,707.66,77.3,21.515900817363832,1.5768725361366753,19.939028281227156
1993-09-01,746.15,77.9,31.919520517671174,3.0423280423280685,28.877192475343104
1993-10-01,763.23,82.7,31.97136582919786,12.824010914051854,19.147354915146007
1993-11-01,783.77,81.2,29.000773573415394,-4.806565064478308,33.8073386378937
1993-12-01,763.81,88.2,16.79944949919716,-3.076923076923077,19.876372576120236
1994-01-01,770.76,94.3,14.730574575766608,5.599104143337064,9.131470432429545
1994-02-01,797.24,93.2,13.604172307166174,7.621247113163987,5.982925194002187
1994-03-01,788.64,91.5,17.79361025227406,6.519208381839348,11.274401870434712
1994-04-01,727.41,92.6,5.937609227542806,8.177570093457941,-2.239960865915135
1994-05-01,740.68,92.8,11.094778839375419,15.566625155666248,-4.471846316290829
1994-06-01,735.52,91.2,4.435735786902928,11.901840490797543,-7.466104703894615
1994-07-01,706.85,89.0,0.4633380235648632,15.58441558441559,-15.121077560850726
1994-08-01,724.85,91.7,2.4291326343159225,18.62871927554981,-16.199586641233886
1994-09-01,758.95,91.5,1.715472760168879,17.458279845956337,-15.742807085787458
1994-10-01,760.88,92.7,-0.30790194305779783,12.091898428053206,-12.399800371111004
1994-11-01,772.19,91.6,-1.477474259030065,12.807881773399,-14.285356032429064
1994-12-01,741.2,95.1,-2.9601602492766443,7.823129251700678,-10.783289500977322
1995-01-01,743.58,97.6,-3.5263895375992504,3.499469777306463,-7.025859314905714
1995-02-01,758.31,95.1,-4.883096683558286,2.0386266094420513,-6.921723293000337
1995-03-01,791.87,90.3,0.40956583485494136,-1.3114754098360715,1.7210412446910128
1995-04-01,818.05,92.5,12.460648052680057,-0.10799136069113979,12.568639413371196
1995-05-01,841.63,89.8,13.629367608143884,-3.2327586206896575,16.862126228833542
1995-06-01,868.82,92.7,18.123232542962818,1.6447368421052655,16.47849570085755
1995-07-01,934.53,94.4,32.21051142392304,6.067415730337089,26.14309569358595
1995-08-01,991.11,96.2,36.73311719666137,4.907306434023995,31.825810762637374
1995-09-01,1019.47,88.9,34.32637196126227,-2.841530054644803,37.167902015907075
1995-10-01,1027.57,90.2,35.05020502575964,-2.696871628910469,37.74707665467011
1995-11-01,1040.5,88.2,34.746629715484524,-3.7117903930130924,38.45842010849761
1995-12-01,1055.31,91.0,42.37857528332432,-4.311251314405884,46.6898265977302
1996-01-01,1058.65,89.3,42.37203797842868,-8.504098360655732,50.87613633908441
1996-02-01,1069.46,88.5,41.03203175482324,-6.9400630914826404,47.97209484630588
1996-03-01,1086.08,93.7,37.15382575422732,3.7652270210409844,33.388598733186335
1996-04-01,1106.57,92.7,35.269237821649035,0.216216216216214,35.05302160543282
1996-05-01,1199.66,89.4,42.54007105260031,-0.44543429844097204,42.98550535104128
1996-06-01,1238.73,92.4,42.57613775005178,-0.3236245954692518,42.89976234552103
1996-07-01,1197.45,94.7,28.133928284806274,0.3177966101694851,27.81613167463679
1996-08-01,1098.85,95.3,10.870639989506703,-0.9355509355509439,11.806190925057647
1996-09-01,1142.29,94.7,12.047436413038138,6.524184476940387,5.5232519360977514
1996-10-01,1221.51,96.5,18.873653376412314,6.984478935698446,11.889174440713868
1996-11-01,1221.78,99.2,17.422393080249886,12.471655328798192,4.950737751451694
1996-12-01,1299.82,96.9,23.169495219414205,6.483516483516483,16.685978735897724
1997-01-01,1280.7,97.4,20.974826429887106,9.070548712206051,11.904277717681055
1997-02-01,1376.05,99.7,28.667738858863334,12.655367231638426,16.01237162722491
1997-03-01,1311.18,100.0,20.725913376546856,6.7235859124866515,14.002327464060205
1997-04-01,1216.93,101.4,9.973160306171325,9.385113268608425,0.5880470375628999
1997-05-01,1270.5,103.2,5.905006418485237,15.436241610738243,-9.531235192253007
1997-06-01,1404.79,104.5,13.405665479967377,13.095238095238093,0.3104273847292838
1997-07-01,1438.25,107.1,20.109399139838825,13.093980992608234,7.015418147230591
1997-08-01,1594.33,104.4,45.09077672111754,9.548793284365175,35.54198343675237
1997-09-01,1618.09,106.0,41.65317038580396,11.932418162618784,29.720752223185176
1997-10-01,1690.3,105.6,38.37790930897005,9.430051813471497,28.94785749549855
1997-11-01,1629.98,107.2,33.41027026142187,8.064516129032251,25.345754132389622
1997-12-01,1630.72,102.1,25.45737102060286,5.366357069143435,20.091013951459423
1998-01-01,1581.53,106.6,23.48949793081907,9.445585215605746,14.043912715213324
1998-02-01,1652.89,110.4,20.118454998001532,10.732196589769316,9.386258408232216
1998-03-01,1758.54,106.5,34.118885278909076,6.499999999999995,27.618885278909083
1998-04-01,1847.66,108.7,51.82960400351704,7.199211045364895,44.63039295815214
1998-05-01,1873.44,106.5,47.45690672963401,3.197674418604657,44.25923231102935
1998-06-01,1746.82,105.6,24.347411356857606,1.0526315789473717,23.294779777910236
1998-07-01,1914.46,105.2,33.11037719450722,-1.7740429505135324,34.884420145020755
1998-08-01,1851.1,104.4,16.105197794684912,0.0,16.105197794684912
1998-09-01,1575.09,100.9,-2.657454158915762,-4.8113207547169745,2.1538665958012126
1998-10-01,1612.33,97.4,-4.612790628882446,-7.765151515151503,3.152360886269057
1998-11-01,1800.91,102.7,10.486631737812747,-4.197761194029848,14.684392931842595
1998-12-01,2003.75,100.5,22.875171703296694,-1.5670910871694366,24.44226279046613
1999-01-01,2208.05,103.9,39.614803386594,-2.5328330206378924,42.14763640723189
1999-02-01,2510.09,108.1,51.860680384054604,-2.083333333333348,53.94401371738795
1999-03-01,2295.18,105.7,30.516223685557332,-0.7511737089201831,31.267397394477516
1999-04-01,2493.37,104.6,34.947447041122274,-3.771849126034965,38.71929616715724
1999-05-01,2535.58,106.8,35.34353915791271,0.28169014084507005,35.06184901706764
1999-06-01,2412.03,107.3,38.081198978715626,1.6098484848484862,36.47135049386714
