game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,summary,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,SEASON,losing_Team
469931,2016-03-26T17:05:00Z,2016-03-26,S,Final,Pittsburgh Pirates,Minnesota Twins,134,142,N,1,Kyle Gibson,Kyle Lobstein,,,0,3,9,Top,2862,CenturyLink Sports Complex,['MLB.TV'],MIN wins Spring,2016-03-26 - Pittsburgh Pirates (0) @ Minnesota Twins (3) (Final),Minnesota Twins,Pittsburgh Pirates,Kyle Gibson,Kyle Lobstein,Michael Tonkin,2016,
470030,2016-03-26T22:05:00Z,2016-03-26,S,Final,Tampa Bay Rays,Pittsburgh Pirates,139,134,N,1,Francisco Liriano,Jake Odorizzi,,,3,1,9,Bottom,2526,McKechnie Field,['MLB.TV'],TB wins Spring,2016-03-26 - Tampa Bay Rays (3) @ Pittsburgh Pirates (1) (Final),Tampa Bay Rays,Pittsburgh Pirates,Jake Odorizzi,Francisco Liriano,Ryan Garton,2016,
470043,2016-03-27T22:05:00Z,2016-03-27,S,Final,Baltimore Orioles,Pittsburgh Pirates,110,134,N,1,Trevor Williams,Ubaldo Jiménez,,,5,3,9,Bottom,2526,McKechnie Field,['MLB.TV'],BAL wins Spring,2016-03-27 - Baltimore Orioles (5) @ Pittsburgh Pirates (3) (Final),Baltimore Orioles,Pittsburgh Pirates,Jason Stoffel,Cory Luebke,Oliver Drake,2016,
470045,2016-03-28T17:05:00Z,2016-03-28,S,Final,Minnesota Twins,Pittsburgh Pirates,142,134,N,1,Gerrit Cole,Tyler Duffey,,,6,4,9,Bottom,2526,McKechnie Field,['MLB.TV'],MIN wins Spring,2016-03-28 - Minnesota Twins (6) @ Pittsburgh Pirates (4) (Final),Minnesota Twins,Pittsburgh Pirates,Trevor May,Curtis Partch,Corey Williams,2016,
469979,2016-03-29T17:05:00Z,2016-03-29,S,Completed Early: Rain,Pittsburgh Pirates,New York Yankees,134,147,N,1,CC Sabathia,Steven Brault,,,4,5,5,Bottom,2523,George M. Steinbrenner Field,['MLB.TV'],NYY wins Spring,2016-03-29 - Pittsburgh Pirates @ New York Yankees (Completed Early: Rain),,,,,,2016,
470047,2016-03-30T17:05:00Z,2016-03-30,S,Final: Tied,Boston Red Sox,Pittsburgh Pirates,111,134,N,1,Jonathon Niese,David Price,,,4,4,9,Bottom,2526,McKechnie Field,['MLB.TV'],,2016-03-30 - Boston Red Sox @ Pittsburgh Pirates (Final: Tied),,,,,,2016,
470159,2016-03-31T17:05:00Z,2016-03-31,S,Final,Pittsburgh Pirates,Tampa Bay Rays,134,139,N,1,Jake Odorizzi,Kyle Lobstein,,,13,8,9,Bottom,2534,Charlotte Sports Park,['MLB.TV'],PIT wins Spring,2016-03-31 - Pittsburgh Pirates (13) @ Tampa Bay Rays (8) (Final),Pittsburgh Pirates,Tampa Bay Rays,Kyle Lobstein,Jake Odorizzi,,2016,
460424,2016-04-02T17:35:00Z,2016-04-02,S,Final,Cincinnati Reds,Pittsburgh Pirates,113,134,N,1,Wilfredo Boscan,Alfredo Simon,,,13,6,9,Bottom,2858,Victory Field,[],CIN wins Spring,2016-04-02 - Cincinnati Reds (13) @ Pittsburgh Pirates (6) (Final),Cincinnati Reds,Pittsburgh Pirates,Alfredo Simon,Wilfredo Boscan,,2016,
446877,2016-04-03T17:05:00Z,2016-04-03,R,Final,St. Louis Cardinals,Pittsburgh Pirates,138,134,N,1,Francisco Liriano,Adam Wainwright,"Liriano will make his third straight Opening Day start for the Pirates. The veteran lefty, hoping to reach the 200-inning threshold for the first time, went 1-1 with a 3.71 ERA in four starts against the Cardinals last year.","This will be Wainwright's fourth straight Opening Day start and his first MLB start of any kind since last April. Wainwright missed much of 2015 with an Achilles injury, though he did return to pitch out of the 'pen late in the year.",1,4,9,Top,31,PNC Park,['ESPN'],PIT leads 1-0,2016-04-03 - St. Louis Cardinals (1) @ Pittsburgh Pirates (4) (Final),Pittsburgh Pirates,St. Louis Cardinals,Francisco Liriano,Adam Wainwright,,2016,
446910,2016-04-05T23:05:00Z,2016-04-05,R,Final,St. Louis Cardinals,Pittsburgh Pirates,138,134,N,1,Jonathon Niese,Michael Wacha,"Niese will make his Pirates debut after coming over in an offseason trade for longtime Pirates second baseman Neil Walker. The veteran lefty finished last season 9-10 with a 4.13 ERA in 33 games, including 29 starts.",Wacha was knocked around in Grapefruit League play but found his fastball command near the end of camp. He's added a cutter to his repertoire and will not have his workload restricted for the first time in his career.,5,6,11,Bottom,31,PNC Park,[],PIT wins 2-0,2016-04-05 - St. Louis Cardinals (5) @ Pittsburgh Pirates (6) (Final),Pittsburgh Pirates,St. Louis Cardinals,Kyle Lobstein,Seth Maness,,2016,
446900,2016-04-06T23:05:00Z,2016-04-06,R,Final,St. Louis Cardinals,Pittsburgh Pirates,138,134,N,1,Juan Nicasio,Mike Leake,"After earning a spot in the Pirates' rotation with his standout spring, Nicasio will take the mound as a full-time starter for the first time since June 2014. He struck out 24 batters in 15 scoreless innings this spring.","This will be the Cardinals debut for Leake, who secured the largest deal the club has ever given to a free-agent pitcher when he signed an $80 million contract in December. Leake takes the rotation spot left vacant by Lance Lynn.",1,5,9,Top,31,PNC Park,[],PIT wins 3-0,2016-04-06 - St. Louis Cardinals (1) @ Pittsburgh Pirates (5) (Final),Pittsburgh Pirates,St. Louis Cardinals,Juan Nicasio,Mike Leake,Mark Melancon,2016,
446922,2016-04-08T23:10:00Z,2016-04-08,R,Final,Pittsburgh Pirates,Cincinnati Reds,134,113,N,1,Alfredo Simon,Francisco Liriano,"The Reds signed Simon to a one-year, $2 million contract on March 17 to provide innings and depth to a young rotation. During his truncated Spring Training, he looked solid and showed no rust. He will be counted on for his durability all season.","Liriano was in midseason form on Opening Day, striking out 10 and walking five over six scoreless innings in a win over the Cardinals. He went 1-0 with a 3.00 ERA in three starts against the Reds last season.",6,5,9,Bottom,2602,Great American Ball Park,[],PIT leads 1-0,2016-04-08 - Pittsburgh Pirates (6) @ Cincinnati Reds (5) (Final),Pittsburgh Pirates,Cincinnati Reds,Ryan Vogelsong,J.J. Hoover,Mark Melancon,2016,
446937,2016-04-09T17:10:00Z,2016-04-09,R,Final,Pittsburgh Pirates,Cincinnati Reds,134,113,N,1,Raisel Iglesias,Gerrit Cole,"Iglesias allowed the leadoff batter to get a hit in four of his six innings during an Opening Day no-decision, but still had a nice outing. In six innings and 90 pitches, he gave up two earned runs, six hits, no walks and seven strikeouts.","Cole will make his 2016 debut against the Reds, who have given him trouble (0-4, 5.23 ERA) in his excellent young career. Last year, Cole went 0-3 with a 5.95 ERA in four starts against Cincinnati.",1,5,9,Top,2602,Great American Ball Park,[],Series tied 1-1,2016-04-09 - Pittsburgh Pirates (1) @ Cincinnati Reds (5) (Final),Cincinnati Reds,Pittsburgh Pirates,Raisel Iglesias,Gerrit Cole,,2016,
446952,2016-04-10T17:10:00Z,2016-04-10,R,Final,Pittsburgh Pirates,Cincinnati Reds,134,113,N,1,Tim Melville,Jeff Locke,"Melville will make his big league debut against the Pirates. A former fourth round Draft pick of the Royals in 2008, the right-hander went 7-10 with a 4.63 ERA in 27 starts with the Tigers’ Triple-A affiliate last year.","Locke is set to make his first start of the year against the Reds, testing out his revamped windup delivery for the first time. The lefty went 8-11 with a 4.49 ERA last season, including 1-2 with a 4.29 ERA against the Reds.",1,2,9,Bottom,2602,Great American Ball Park,[],CIN wins 2-1,2016-04-10 - Pittsburgh Pirates (1) @ Cincinnati Reds (2) (Final),Cincinnati Reds,Pittsburgh Pirates,Ross Ohlendorf,Arquimedes Caminero,,2016,
446965,2016-04-11T17:10:00Z,2016-04-11,R,Final,Pittsburgh Pirates,Detroit Tigers,134,116,N,1,Justin Verlander,Jonathon Niese,"Verlander took a no-hitter into the sixth inning Tuesday night against the Marlins before three hits in his final five batters, including a Giancarlo Stanton two-run home run. The Pirates are .196 career hitters against him.","Niese's Pirates debut went better than his line indicated, as he struck out seven and walked one over five innings. But he allowed five runs (four earned) on five hits, some of which could be attributed to defensive misplays.",7,4,9,Bottom,2394,Comerica Park,['MLBN (out-of-market only)'],PIT leads 1-0,2016-04-11 - Pittsburgh Pirates (7) @ Detroit Tigers (4) (Final),Pittsburgh Pirates,Detroit Tigers,Jonathon Niese,Justin Verlander,Mark Melancon,2016,
446977,2016-04-12T17:10:00Z,2016-04-12,R,Final,Pittsburgh Pirates,Detroit Tigers,134,116,N,1,Aníbal Sánchez,Juan Nicasio,Sanchez tossed five scoreless innings at Miami last Wednesday before back-to-back Marlins reached base and scored in the sixth. He gave up three home runs to Pirates batters over 6 1/3 innings last April 13 in Pittsburgh.,"Nicasio's return to the rotation couldn't have gone much better. The spring sensation eased early concerns by striking out seven and holding the Cardinals to two hits, including a solo homer, without a walk over six innings.",2,8,9,Top,2394,Comerica Park,[],Series tied 1-1,2016-04-12 - Pittsburgh Pirates (2) @ Detroit Tigers (8) (Final),Detroit Tigers,Pittsburgh Pirates,Aníbal Sánchez,Juan Nicasio,,2016,
446987,2016-04-13T23:05:00Z,2016-04-13,R,Final,Detroit Tigers,Pittsburgh Pirates,116,134,N,1,Ryan Vogelsong,Shane Greene,"Vogelsong steps in for the start after Francisco Liriano was scratched due to right hamstring discomfort. Vogelsong last started a game on Sept. 3, 2015, for the Giants, allowing seven earned runs over three-plus innings.","After pitching a perfect 11th inning for an Opening Day save, Greene returns to Detroit’s rotation against a Pirates lineup he shut down for eight innings last April in Pittsburgh. He has struggled and come back since.",7,3,9,Bottom,31,PNC Park,[],DET leads 2-1,2016-04-13 - Detroit Tigers (7) @ Pittsburgh Pirates (3) (Final),Detroit Tigers,Pittsburgh Pirates,Shane Greene,Arquimedes Caminero,,2016,
447002,2016-04-14T16:35:00Z,2016-04-14,R,Final,Detroit Tigers,Pittsburgh Pirates,116,134,N,1,Gerrit Cole,Jordan Zimmermann,"Cole admitted to being ""a little rusty"" in his first competitive game since October, allowing three runs over 4 2/3 innings against the Reds on Saturday. He was 1-0 with a 2.13 ERA in two starts against Detroit last season.","After seven shutout innings against the Yankees in his Tigers debut, Zimmermann returns to National League territory. He's pitched only once at PNC Park as a National, allowing four runs over six innings in a defeat in 2014.",7,4,9,Bottom,31,PNC Park,['MLBN (out-of-market only)'],DET wins 3-1,2016-04-14 - Detroit Tigers (7) @ Pittsburgh Pirates (4) (Final),Detroit Tigers,Pittsburgh Pirates,Jordan Zimmermann,Gerrit Cole,Francisco Rodríguez,2016,
447016,2016-04-15T23:05:00Z,2016-04-15,R,Final,Milwaukee Brewers,Pittsburgh Pirates,158,134,N,1,Jeff Locke,Jimmy Nelson,"Against the Reds on Sunday, Locke allowed just one earned run on seven hits over six innings, but left with a no-decision. He’s 5-4 with a 3.75 ERA in his career against the Brewers.","Nelson is off to the best start of any member of the Brewers' pitching rotation, holding the Giants and Astros to four earned runs over 13 1/3 innings of his first two starts. He has a 3.38 ERA in three starts at PNC Park.",8,4,9,Bottom,31,PNC Park,[],MIL leads 1-0,2016-04-15 - Milwaukee Brewers (8) @ Pittsburgh Pirates (4) (Final),Milwaukee Brewers,Pittsburgh Pirates,Jimmy Nelson,Jeff Locke,,2016,
447031,2016-04-16T23:05:00Z,2016-04-16,R,Final,Milwaukee Brewers,Pittsburgh Pirates,158,134,N,1,Jonathon Niese,Taylor Jungmann,"Niese picked up his first win of the season after allowing four runs (three earned) against the Tigers on Monday. Niese has been working on leaning back and keeping his release straighter, and it paid off in Detroit.","Jungmann is coming off a two-inning stint at St. Louis in which he surrendered eight earned runs on eight hits, seven for extra bases. That was one shy of the record for extra-base hits allowed by a Brewers starter.",0,5,9,Top,31,PNC Park,[],Series tied 1-1,2016-04-16 - Milwaukee Brewers (0) @ Pittsburgh Pirates (5) (Final),Pittsburgh Pirates,Milwaukee Brewers,Jonathon Niese,Taylor Jungmann,,2016,
447046,2016-04-17T17:35:00Z,2016-04-17,R,Final,Milwaukee Brewers,Pittsburgh Pirates,158,134,N,1,Juan Nicasio,Zach Davies,"After a strong debut, Nicasio struggled in his second start with the Pirates. The right-hander gave up four runs on six hits and five walks, battling through three innings in a loss to the Tigers on Tuesday at Comerica Park.","Davies will make his first start for the Brewers this season. He began the season at Triple-A Colorado Springs, where he had a 2.00 ERA in 2 starts. Davies is 0-1 with an 11.25 ERA in 2 career starts against the Pirates.",3,9,9,Top,31,PNC Park,[],PIT wins 2-1,2016-04-17 - Milwaukee Brewers (3) @ Pittsburgh Pirates (9) (Final),Pittsburgh Pirates,Milwaukee Brewers,Juan Nicasio,Zach Davies,,2016,
