name,date,total,1 unit,2 units,3 and 4 units,5 units or more,multi_total,rt,multi_rt,population,rt_pc,multi_rt_pc,lat,lng,region
"Bellingham, WA",2025-08-01,55.0,40.0,6.0,9.0,0.0,15.0,1292.0,588.0,234954.0,5.498948730389778,2.5026175336448837,48.7548,-122.469,
"Bemidji, MN",2025-08-01,22.0,12.0,0.0,0.0,10.0,10.0,177.0,100.0,,,,47.4828,-94.8797,
"Bend, OR",2025-08-01,266.0,108.0,18.0,3.0,137.0,158.0,2661.0,1293.0,264407.0,10.064030074846732,4.890188232535448,44.0563,-121.3095,
"Bennington, VT",2025-08-01,4.0,4.0,0.0,0.0,0.0,0.0,66.0,6.0,,,,,,
"Big Rapids, MI",2025-08-01,8.0,8.0,0.0,0.0,0.0,0.0,115.0,0.0,,,,43.6992,-85.4806,
"Big Spring, TX",2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,,,,32.2389,-101.4799,
"Billings, MT",2025-08-01,83.0,83.0,0.0,0.0,0.0,0.0,1237.0,488.0,192531.0,6.424939360414686,2.534656756574266,45.7891,-108.5526,
"Binghamton, NY",2025-08-01,33.0,16.0,0.0,0.0,17.0,17.0,432.0,291.0,243971.0,1.770702255595952,1.19276471383894,42.1014,-75.9093,
"Birmingham, AL",2025-08-01,298.0,252.0,4.0,0.0,42.0,46.0,3582.0,375.0,1192583.0,3.003564531776824,0.3144435230084615,33.5279,-86.7971,Southeast
"Bishop, CA",2025-08-01,1.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,,,,37.3665,-118.3958,
"Bismarck, ND",2025-08-01,71.0,71.0,0.0,0.0,0.0,0.0,422.0,43.0,139183.0,3.031979480252617,0.30894577642384485,46.8143,-100.7694,
"Blackfoot, ID",2025-08-01,9.0,9.0,0.0,0.0,0.0,0.0,213.0,8.0,,,,43.194,-112.3454,
"Blacksburg, VA",2025-08-01,32.0,32.0,0.0,0.0,0.0,0.0,448.0,2.0,182041.0,2.4609840640295317,0.010986536000131839,37.23,-80.4279,
"Bloomington, IL",2025-08-01,86.0,22.0,2.0,0.0,62.0,64.0,335.0,122.0,172069.0,1.9468933974161529,0.7090178939843901,40.4757,-88.9703,
"Bloomington, IN",2025-08-01,28.0,18.0,10.0,0.0,0.0,10.0,1227.0,921.0,162553.0,7.548307321304436,5.665844370759075,39.1637,-86.5257,
"Bloomsburg, PA",2025-08-01,5.0,5.0,0.0,0.0,0.0,0.0,75.0,0.0,,,,41.0027,-76.4561,
"Bluefield, WV",2025-08-01,3.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,,,,37.2608,-81.2143,
"Blytheville, AR",2025-08-01,7.0,7.0,0.0,0.0,0.0,0.0,60.0,0.0,,,,35.9321,-89.9051,
"Bogalusa, LA",2025-08-01,2.0,0.0,2.0,0.0,0.0,2.0,8.0,8.0,,,,30.7812,-89.8633,
"Boise City, ID",2025-08-01,709.0,557.0,22.0,4.0,126.0,152.0,9576.0,1585.0,845877.0,11.320794867338869,1.873794889800763,,,
"Bonham, TX",2025-08-01,3.0,3.0,0.0,0.0,0.0,0.0,55.0,8.0,,,,33.588,-96.1901,
"Boone, NC",2025-08-01,21.0,21.0,0.0,0.0,0.0,0.0,508.0,278.0,,,,36.2111,-81.6669,
"Borger, TX",2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,35.6598,-101.4012,
"Boston, MA",2025-08-01,824.0,323.0,16.0,15.0,470.0,501.0,9240.0,5822.0,5025517.0,1.8386168030075314,1.158487773496737,42.3188,-71.0852,Northeast
"Boulder, CO",2025-08-01,562.0,59.0,0.0,0.0,503.0,503.0,2177.0,1695.0,330262.0,6.591736257880107,5.132288910016896,40.0248,-105.2524,
"Bowling Green, KY",2025-08-01,232.0,59.0,0.0,6.0,167.0,173.0,1187.0,446.0,195159.0,6.082220138451212,2.2853160756101434,36.9716,-86.4378,
"Bozeman, MT",2025-08-01,118.0,57.0,4.0,6.0,51.0,61.0,1530.0,718.0,126984.0,12.048762048762049,5.654255654255654,45.6833,-111.0558,
"Bradford, PA",2025-08-01,3.0,3.0,0.0,0.0,0.0,0.0,30.0,0.0,,,,41.9605,-78.6412,
"Brainerd, MN",2025-08-01,81.0,81.0,0.0,0.0,0.0,0.0,888.0,184.0,,,,46.3553,-94.1983,
"Branson, MO",2025-08-01,13.0,13.0,0.0,0.0,0.0,0.0,271.0,35.0,,,,36.6509,-93.2636,
"Brattleboro, VT",2025-08-01,14.0,11.0,0.0,3.0,0.0,3.0,158.0,13.0,,,,,,
"Breckenridge, CO",2025-08-01,13.0,13.0,0.0,0.0,0.0,0.0,365.0,151.0,,,,39.4995,-106.0432,
"Bremerton, WA",2025-08-01,228.0,32.0,0.0,7.0,189.0,196.0,1727.0,972.0,281420.0,6.1367351289886996,3.4539123018975197,47.5436,-122.7121,
"Brenham, TX",2025-08-01,4.0,4.0,0.0,0.0,0.0,0.0,207.0,3.0,,,,30.1584,-96.3966,
"Brevard, NC",2025-08-01,15.0,13.0,2.0,0.0,0.0,2.0,203.0,14.0,,,,35.2438,-82.7265,
"Bridgeport, CT",2025-08-01,739.0,49.0,2.0,0.0,688.0,690.0,3572.0,3036.0,972679.0,3.672331776464795,3.121276392314422,41.1918,-73.1954,
"Brigham City, UT",2025-08-01,43.0,43.0,0.0,0.0,0.0,0.0,483.0,51.0,,,,41.5035,-112.0453,
"Brookhaven, MS",2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,,,31.5803,-90.4432,
"Brookings, OR",2025-08-01,4.0,4.0,0.0,0.0,0.0,0.0,47.0,0.0,,,,42.0697,-124.3002,
"Brookings, SD",2025-08-01,7.0,7.0,0.0,0.0,0.0,0.0,303.0,154.0,,,,44.3022,-96.7859,
"Brownsville, TX",2025-08-01,151.0,125.0,4.0,0.0,22.0,26.0,2123.0,435.0,431874.0,4.91578562265846,1.0072382222592702,25.9975,-97.458,
"Brownwood, TX",2025-08-01,9.0,9.0,0.0,0.0,0.0,0.0,205.0,49.0,,,,31.7127,-98.9767,
"Brunswick, GA",2025-08-01,62.0,45.0,4.0,3.0,10.0,17.0,773.0,210.0,117135.0,6.59922311862381,1.7928031758227685,31.1449,-81.4746,
"Bucyrus, OH",2025-08-01,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,,,,40.8054,-82.9719,
"Buffalo, NY",2025-08-01,120.0,69.0,2.0,0.0,49.0,51.0,1137.0,383.0,1160172.0,0.9800270994300845,0.3301234644518226,42.9018,-78.8487,Northeast
"Burley, ID",2025-08-01,18.0,15.0,0.0,3.0,0.0,3.0,253.0,8.0,,,,42.5379,-113.7926,
"Burlington, IA",2025-08-01,5.0,0.0,0.0,0.0,5.0,5.0,89.0,67.0,,,,40.8071,-91.1247,
"Burlington, NC",2025-08-01,99.0,97.0,2.0,0.0,0.0,2.0,2167.0,369.0,183040.0,11.838942307692307,2.0159527972027975,36.076,-79.4685,
"Burlington, VT",2025-08-01,100.0,32.0,4.0,0.0,64.0,68.0,840.0,391.0,229445.0,3.6610080847261868,1.70411209658088,44.4876,-73.2316,
"Butte, MT",2025-08-01,6.0,4.0,2.0,0.0,0.0,2.0,98.0,35.0,,,,45.902,-112.6571,
"Cadillac, MI",2025-08-01,13.0,8.0,0.0,0.0,5.0,5.0,172.0,68.0,,,,44.2493,-85.4164,
"Calhoun, GA",2025-08-01,27.0,27.0,0.0,0.0,0.0,0.0,382.0,0.0,,,,34.491,-84.9386,
"Cambridge, MD",2025-08-01,4.0,4.0,0.0,0.0,0.0,0.0,71.0,0.0,,,,38.5515,-76.0787,
"Cambridge, OH",2025-08-01,3.0,3.0,0.0,0.0,0.0,0.0,41.0,0.0,,,,40.0221,-81.5869,
"Camden, AR",2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,,,,33.5672,-92.8467,
"Campbellsville, KY",2025-08-01,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,,,,37.3445,-85.3511,
"Canton, IL",2025-08-01,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,,,,40.5632,-90.0409,
"Canton, OH",2025-08-01,54.0,35.0,6.0,6.0,7.0,19.0,566.0,163.0,400551.0,1.4130535187778837,0.4069394409201325,40.8078,-81.3676,
"Cape Coral, FL",2025-08-01,1003.0,967.0,16.0,0.0,20.0,36.0,15123.0,4506.0,860959.0,17.56529637299802,5.233698701099588,26.6443,-81.9957,
"Cape Girardeau, MO",2025-08-01,6.0,6.0,0.0,0.0,0.0,0.0,84.0,10.0,98862.0,0.8496692359045943,0.1011510995124517,37.3109,-89.5597,
"Carbondale, IL",2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,37.7221,-89.2237,
"Carlsbad, NM",2025-08-01,19.0,19.0,0.0,0.0,0.0,0.0,167.0,0.0,,,,32.401,-104.2388,
"Carroll, IA",2025-08-01,1.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,,,,42.0699,-94.8646,
"Carson City, NV",2025-08-01,36.0,28.0,0.0,8.0,0.0,8.0,464.0,251.0,58148.0,7.979638164683223,4.316571507188553,39.1511,-119.7476,
"Casper, WY",2025-08-01,13.0,13.0,0.0,0.0,0.0,0.0,326.0,106.0,80410.0,4.054222111677652,1.3182439995025494,42.842,-106.3208,
"Cañon City, CO",2025-08-01,5.0,5.0,0.0,0.0,0.0,0.0,107.0,2.0,,,,,,
"Cedar City, UT",2025-08-01,76.0,76.0,0.0,0.0,0.0,0.0,663.0,0.0,,,,37.6834,-113.0956,
"Cedar Rapids, IA",2025-08-01,74.0,56.0,6.0,12.0,0.0,18.0,1121.0,648.0,278677.0,4.022578110141849,2.3252726274504174,41.9662,-91.6783,
"Cedartown, GA",2025-08-01,10.0,10.0,0.0,0.0,0.0,0.0,91.0,0.0,,,,34.0223,-85.2479,
"Celina, OH",2025-08-01,8.0,8.0,0.0,0.0,0.0,0.0,93.0,6.0,,,,40.555,-84.5626,
"Centralia, IL",2025-08-01,3.0,0.0,0.0,3.0,0.0,3.0,15.0,12.0,,,,38.5224,-89.1232,
"Centralia, WA",2025-08-01,30.0,30.0,0.0,0.0,0.0,0.0,356.0,49.0,,,,46.7223,-122.9696,
"Chambersburg, PA",2025-08-01,112.0,39.0,0.0,3.0,70.0,73.0,974.0,272.0,159285.0,6.114825627020749,1.7076309759236588,39.9315,-77.6556,
"Champaign, IL",2025-08-01,103.0,23.0,2.0,0.0,78.0,80.0,687.0,416.0,242453.0,2.833538871451374,1.7157964636445,40.1142,-88.2737,
"Charleston, IL",2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,40.0,35.0,,,,39.4842,-88.1781,
"Charleston, SC",2025-08-01,714.0,388.0,0.0,0.0,326.0,326.0,7786.0,1816.0,869940.0,8.950042531668851,2.087500287376141,32.8168,-79.9687,
"Charleston, WV",2025-08-01,6.0,6.0,0.0,0.0,0.0,0.0,137.0,2.0,202091.0,0.6779124255904518,0.009896531760444553,38.3484,-81.6322,
"Charlotte, NC",2025-08-01,1481.0,1078.0,2.0,18.0,383.0,403.0,23284.0,6178.0,2883370.0,8.075273031210008,2.1426317121978795,35.2083,-80.8303,Southeast
"Charlottesville, VA",2025-08-01,94.0,75.0,0.0,0.0,19.0,19.0,1439.0,399.0,227336.0,6.329837773163951,1.7551113769926452,38.0375,-78.4855,
"Chattanooga, TN",2025-08-01,244.0,169.0,14.0,8.0,53.0,75.0,2998.0,734.0,588050.0,5.098205934869483,1.2481931808519684,35.066,-85.2481,
"Cheyenne, WY",2025-08-01,42.0,28.0,0.0,4.0,10.0,14.0,433.0,148.0,101783.0,4.254148531680142,1.4540738630223122,41.135,-104.7902,
"Chicago, IL",2025-08-01,1473.0,927.0,42.0,124.0,380.0,546.0,17714.0,7925.0,9408576.0,1.8827503758273303,0.8423166268731846,41.8375,-87.6866,Midwest
"Chico, CA",2025-08-01,64.0,51.0,2.0,0.0,11.0,13.0,901.0,229.0,208334.0,4.324786160684286,1.0991964825712557,39.7578,-121.8161,
"Chillicothe, OH",2025-08-01,1.0,1.0,0.0,0.0,0.0,0.0,26.0,4.0,,,,39.3393,-82.9939,
"Cincinnati, OH",2025-08-01,407.0,346.0,22.0,11.0,28.0,61.0,6740.0,2547.0,2302815.0,2.926852569572458,1.10603761048977,39.1413,-84.506,Midwest
"Clarksburg, WV",2025-08-01,2.0,2.0,0.0,0.0,0.0,0.0,153.0,74.0,,,,39.2862,-80.3232,
"Clarksdale, MS",2025-08-01,2.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,,,,34.1933,-90.5693,
"Clarksville, TN",2025-08-01,185.0,183.0,2.0,0.0,0.0,2.0,2969.0,1165.0,345955.0,8.582041016895262,3.3674899914728793,36.5692,-87.3413,
"Clearlake, CA",2025-08-01,9.0,4.0,0.0,0.0,5.0,5.0,102.0,50.0,,,,38.9589,-122.633,
"Cleveland, MS",2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,,,,33.744,-90.7285,
"Cleveland, OH",2025-08-01,295.0,193.0,2.0,3.0,97.0,102.0,3514.0,798.0,2171877.0,1.617955344616661,0.3674241220842617,41.4764,-81.6805,Midwest
"Cleveland, TN",2025-08-01,65.0,47.0,0.0,0.0,18.0,18.0,1070.0,66.0,132120.0,8.098698153194066,0.49954586739327883,35.1817,-84.8707,
"Clewiston, FL",2025-08-01,50.0,40.0,10.0,0.0,0.0,10.0,640.0,10.0,,,,26.7529,-80.9399,
"Clinton, IA",2025-08-01,11.0,3.0,2.0,0.0,6.0,8.0,117.0,77.0,,,,41.8435,-90.2412,
"Clovis, NM",2025-08-01,1.0,1.0,0.0,0.0,0.0,0.0,290.0,72.0,,,,34.4376,-103.1923,
"Cody, WY",2025-08-01,20.0,17.0,0.0,3.0,0.0,3.0,206.0,17.0,,,,44.5213,-109.0548,
"Coeur dAlene, ID",2025-08-01,101.0,90.0,0.0,0.0,11.0,11.0,1723.0,469.0,,,,,,
"Coldwater, MI",2025-08-01,3.0,3.0,0.0,0.0,0.0,0.0,43.0,0.0,,,,41.9465,-84.9989,
"College Station, TX",2025-08-01,158.0,142.0,0.0,16.0,0.0,16.0,2143.0,525.0,287462.0,7.454898386569355,1.8263283494861928,30.5852,-96.2959,
"Colorado Springs, CO",2025-08-01,185.0,181.0,4.0,0.0,0.0,4.0,4148.0,1359.0,777634.0,5.334128908972602,1.7476087722501845,38.8674,-104.7605,
"Columbia, MO",2025-08-01,84.0,36.0,0.0,0.0,48.0,48.0,1284.0,613.0,219426.0,5.851631073801646,2.79365252978225,38.9472,-92.3268,
"Columbia, SC",2025-08-01,436.0,427.0,0.0,9.0,0.0,9.0,5563.0,749.0,870193.0,6.392834692993394,0.8607285969894035,34.0378,-80.9036,
"Columbus, GA",2025-08-01,48.0,48.0,0.0,0.0,0.0,0.0,628.0,47.0,324343.0,1.936221839225758,0.1449083223624373,32.51,-84.8771,
"Columbus, IN",2025-08-01,17.0,17.0,0.0,0.0,0.0,0.0,198.0,8.0,84741.0,2.336531313059794,0.0944053055781735,39.2093,-85.9183,
"Columbus, MS",2025-08-01,19.0,19.0,0.0,0.0,0.0,0.0,140.0,0.0,,,,33.5088,-88.4096,
"Columbus, NE",2025-08-01,3.0,3.0,0.0,0.0,0.0,0.0,393.0,289.0,,,,41.4366,-97.3565,
"Columbus, OH",2025-08-01,1086.0,413.0,34.0,6.0,633.0,673.0,15794.0,10015.0,2225377.0,7.09722442534456,4.500361062417739,39.9862,-82.9855,Midwest
"Concord, NH",2025-08-01,38.0,34.0,4.0,0.0,0.0,4.0,322.0,55.0,,,,43.2305,-71.5595,
"Connersville, IN",2025-08-01,2.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,,,,39.6582,-85.141,
"Cookeville, TN",2025-08-01,100.0,76.0,0.0,6.0,18.0,24.0,903.0,132.0,,,,36.1482,-85.5109,
"Coos Bay, OR",2025-08-01,9.0,9.0,0.0,0.0,0.0,0.0,100.0,19.0,,,,43.3789,-124.233,
"Corbin, KY",2025-08-01,9.0,2.0,4.0,3.0,0.0,7.0,72.0,56.0,,,,36.9323,-84.1006,
"Cordele, GA",2025-08-01,2.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,,,,31.9563,-83.7694,
