name,date,affordability_index,lat,lng,one_year_change,one_year_date,population
"East Stroudsburg, PA",2026-08-01,0.3083296864494837,41.0023,-75.1779,0.01184237988129283,2025-08-01,
"Eau Claire, WI",2026-08-01,0.1756346428309501,44.8197,-91.4948,-0.0033168583370135063,2025-08-01,176153.0
"El Centro, CA",2026-08-01,0.3104438935894215,32.7865,-115.5595,0.015788543080503592,2025-08-01,181724.0
"El Paso, TX",2026-08-01,0.2871331641315005,31.8476,-106.43,-0.0016229922114737172,2025-08-01,879392.0
"Elizabethtown, KY",2026-08-01,0.2037512429995256,37.7031,-85.8773,-0.006631703767888603,2025-08-01,127954.0
"Elkhart, IN",2026-08-01,0.1830444358520555,41.6916,-85.9627,0.00791020964883929,2025-08-01,207436.0
"Elmira, NY",2026-08-01,0.1873391728086116,42.0938,-76.8097,0.0016819982456048044,2025-08-01,81115.0
"Enid, OK",2026-08-01,0.2072689051400911,36.4063,-97.87,-0.00034449478755457785,2025-08-01,62007.0
"Erie, PA",2026-08-01,0.197387731296672,42.1167,-80.0733,-0.0005288849145538843,2025-08-01,267750.0
"Eugene, OR",2026-08-01,0.2659869377353662,44.0564,-123.1174,-0.0005497238845770247,2025-08-01,382396.0
"Evansville, IN",2026-08-01,0.1893335978677368,37.9881,-87.5341,0.00391050117561989,2025-08-01,271793.0
"Fairbanks, AK",2026-08-01,0.2211120994019625,64.8353,-147.6533,0.003529253087515588,2025-08-01,94951.0
"Fargo, ND",2026-08-01,0.1611759953145479,46.8651,-96.8292,1.059173573730865e-05,2025-08-01,267793.0
"Farmington, NM",2026-08-01,0.2029285039105707,36.7555,-108.1823,0.006298848410522501,2025-08-01,120817.0
"Fayetteville, AR",2026-08-01,0.2179281984221836,36.0714,-94.1661,-0.0025990640119281927,2025-08-01,605615.0
"Fayetteville, NC",2026-08-01,0.2703096449306377,35.085,-78.9772,-0.0014084857678597906,2025-08-01,393812.0
"Flagstaff, AZ",2026-08-01,0.3273351786443867,35.1872,-111.6194,-0.008358326242370095,2025-08-01,145161.0
"Flint, MI",2026-08-01,0.1859100116933631,43.0236,-83.6921,0.005002836995210008,2025-08-01,402279.0
"Florence, AL",2026-08-01,0.1896695736045384,34.8303,-87.6655,-0.0025580310166742892,2025-08-01,156287.0
"Florence, SC",2026-08-01,0.2740426378449944,34.178,-79.7898,-0.002421434922875887,2025-08-01,200474.0
"Fond du Lac, WI",2026-08-01,0.1770575153429093,43.7718,-88.4397,0.00834292258772762,2025-08-01,104269.0
"Fort Collins, CO",2026-08-01,0.2360182443595967,40.5477,-105.0656,-0.004624938942346307,2025-08-01,374574.0
"Fort Smith, AR",2026-08-01,0.1948385875885577,35.3495,-94.3695,0.0016170367302495992,2025-08-01,232848.0
"Fort Wayne, IN",2026-08-01,0.2050562948695586,41.0888,-85.1436,0.006235350935941492,2025-08-01,462978.0
"Fresno, CA",2026-08-01,0.3080654735117469,36.783,-119.7939,0.0020506764003517253,2025-08-01,1189557.0
"Gadsden, AL",2026-08-01,0.1953301954320962,34.0086,-86.0157,-0.004368259081251685,2025-08-01,103207.0
"Gainesville, FL",2026-08-01,0.300577038974716,29.6804,-82.3459,-0.004325634474399598,2025-08-01,359780.0
"Gainesville, GA",2026-08-01,0.2106538754023484,34.2902,-83.8294,-0.004663580865391509,2025-08-01,221745.0
"Gettysburg, PA",2026-08-01,0.1620434609484416,39.8304,-77.2339,-0.0037930609945164007,2025-08-01,107914.0
"Glens Falls, NY",2026-08-01,0.2334832450922908,43.3109,-73.6458,0.009902803748643385,2025-08-01,125127.0
"Goldsboro, NC",2026-08-01,0.2775004278829406,35.3778,-77.9717,0.003438087641034593,2025-08-01,120338.0
"Grand Forks, ND",2026-08-01,0.1876715618183665,47.9214,-97.0884,0.006083256636074702,2025-08-01,104184.0
"Grand Island, NE",2026-08-01,0.2125492458255341,40.9218,-98.3586,-0.002812334569732289,2025-08-01,77278.0
"Grand Junction, CO",2026-08-01,0.2539639629040301,39.0877,-108.5673,-0.0009605534211830635,2025-08-01,161260.0
"Grand Rapids, MI",2026-08-01,0.2251031350098699,42.9619,-85.6562,6.361639839880251e-05,2025-08-01,1178826.0
