region_name,fips,most_recent_date,most_recent_value,one_year_date,one_year_value,one_year_change
"Wayne County, MI",26163,2025-11-30,1375.2235642253738,2024-11-30,1332.7243042033151,3.188901101902257
"Alameda County, CA",6001,2025-11-30,2718.4790920588575,2024-11-30,2635.516308025157,3.1478759505710023
"New York County, NY",36061,2025-11-30,4367.240365975521,2024-11-30,4069.2739218449137,7.322349142706917
"Middlesex County, MA",25017,2025-11-30,2890.304737115455,2024-11-30,2826.0674038023667,2.273029058919799
"Philadelphia County, PA",42101,2025-11-30,1703.5427601086187,2024-11-30,1656.5131852422396,2.8390703608858843
"Sacramento County, CA",6067,2025-11-30,2149.0657110464003,2024-11-30,2111.1358961106553,1.7966543511302686
"Suffolk County, NY",36103,2025-11-30,4053.115170536155,2024-11-30,3851.2535591575056,5.241452121444017
"Palm Beach County, FL",12099,2025-11-30,2621.1318498678697,2024-11-30,2590.3084215638237,1.1899520554172964
"Bronx County, NY",36005,2025-11-30,2766.623320458529,2024-11-30,2653.6272683807747,4.25817346031057
"Hillsborough County, FL",12057,2025-11-30,2008.837237585795,2024-11-30,2004.3913639434609,0.22180666522067347
"Orange County, FL",12095,2025-11-30,1945.826097268256,2024-11-30,1945.7982075524735,0.0014333303255326998
"Nassau County, NY",36059,2025-11-30,3521.2760049937574,2024-11-30,3346.9432637546665,5.2087151618913605
"Franklin County, OH",39049,2025-11-30,1477.9155646851889,2024-11-30,1437.3225175780726,2.824212840936817
"Oakland County, MI",26125,2025-11-30,1717.1726451110046,2024-11-30,1688.2094647714146,1.7156153275986816
"Hennepin County, MN",27053,2025-11-30,1742.7395474077582,2024-11-30,1669.2077194291742,4.405193381428287
"Travis County, TX",48453,2025-11-30,1595.2166694195014,2024-11-30,1640.5207241972096,-2.7615655266944446
"Cuyahoga County, OH",39035,2025-11-30,1378.8341912307712,2024-11-30,1314.6563412231883,4.881720644033125
"Allegheny County, PA",42003,2025-11-30,1529.9662298496155,2024-11-30,1468.8616792495366,4.15999351493043
"Salt Lake County, UT",49035,2025-11-30,1606.761202510379,2024-11-30,1594.6750818158237,0.7579049069226773
"Contra Costa County, CA",6013,2025-11-30,2789.8636338566084,2024-11-30,2748.0104644575013,1.523035299189431
"Fairfax County, VA",51059,2025-11-30,2440.730518495175,2024-11-30,2414.838568751084,1.0722020957898653
"Wake County, NC",37183,2025-11-30,1667.863291651062,2024-11-30,1660.876905322367,0.42064443826671283
"Mecklenburg County, NC",37119,2025-11-30,1737.3012192661645,2024-11-30,1723.115038867169,0.8232869007006013
"Montgomery County, MD",24031,2025-11-30,2290.4092030615725,2024-11-30,2269.8149825072446,0.9073083362759126
"Fulton County, GA",13121,2025-11-30,1887.7121190221592,2024-11-30,1812.9814917668623,4.121974084934937
"Collin County, TX",48085,2025-11-30,1731.5369914545524,2024-11-30,1743.0928176800155,-0.6629495634571775
"Pima County, AZ",4019,2025-11-30,1509.940817605143,2024-11-30,1521.004262381892,-0.727377631369929
"Honolulu County, HI",15003,2025-11-30,2790.88003268958,2024-11-30,2662.069477661063,4.838737535193551
"Fresno County, CA",6019,2025-11-30,2033.69994863149,2024-11-30,1984.422742995552,2.48320101197553
"Saint Louis County, MO",29189,2025-11-30,1454.8911150512213,2024-11-30,1407.9190804770176,3.3362737408380796
"Westchester County, NY",36119,2025-11-30,3016.381749050331,2024-11-30,2900.4441056687747,3.997237635262891
"Duval County, FL",12031,2025-11-30,1582.3925552266355,2024-11-30,1576.0608711088428,0.40174108969141975
"Marion County, IN",18097,2025-11-30,1367.216979325186,2024-11-30,1313.5131603194734,4.088563451671145
"Pinellas County, FL",12103,2025-11-30,2031.7509178370055,2024-11-30,2044.550035249998,-0.6260114544678999
"Prince Georges County, MD",24033,2025-11-30,1985.3361230290584,2024-11-30,1971.364557363512,0.7087256191838974
"Fairfield County, CT",9001,2025-11-30,2775.020532469263,2024-11-30,2666.511394659406,4.069329612736071
"Bergen County, NJ",34003,2025-11-30,2773.6276402452872,2024-11-30,2693.1671941102527,2.9875770917971707
"Erie County, NY",36029,2025-11-30,1371.24799363498,2024-11-30,1341.9760589532923,2.1812561026251935
"Gwinnett County, GA",13135,2025-11-30,1848.4496266199135,2024-11-30,1845.210720998039,0.17553039254630903
"Milwaukee County, WI",55079,2025-11-30,1396.0312241353731,2024-11-30,1331.9063006919002,4.814522118422384
"DuPage County, IL",17043,2025-11-30,2039.8374582933404,2024-11-30,1971.472592332785,3.467705624031081
"Shelby County, TN",47157,2025-11-30,1363.6343336966504,2024-11-30,1341.631736735772,1.63998781173822
"Pierce County, WA",53053,2025-11-30,1956.845759448096,2024-11-30,1874.9822846563857,4.36609324054029
"Kern County, CA",6029,2025-11-30,1781.9767414789428,2024-11-30,1730.6191589020648,2.9675843071944366
"Hartford County, CT",9003,2025-11-30,1832.1092704304465,2024-11-30,1761.6973333106646,3.9968237329087892
"Denton County, TX",48121,2025-11-30,1679.7041221793006,2024-11-30,1697.1206588738644,-1.0262403326184617
"Macomb County, MI",26099,2025-11-30,1388.243846153846,2024-11-30,1357.2990155701789,2.279883078723653
"San Francisco County, CA",6075,2025-11-30,3679.6589215485687,2024-11-30,3294.0521632318123,11.70615215572165
"Hidalgo County, TX",48215,2025-11-30,1124.0211528697766,2024-11-30,1113.6102038508443,0.934882689017348
"New Haven County, CT",9009,2025-11-30,1938.218401213541,2024-11-30,1853.8252571906355,4.552378585606198
"El Paso County, TX",48141,2025-11-30,1503.810600935342,2024-11-30,1470.044002431346,2.2969787603737504
"Middlesex County, NJ",34023,2025-11-30,2544.2239858906523,2024-11-30,2467.358530456031,3.115293318171095
"Worcester County, MA",25027,2025-11-30,2096.20921269899,2024-11-30,2011.1898281127096,4.2273177498149055
"Essex County, NJ",34013,2025-11-30,2305.0555151983867,2024-11-30,2218.00419847944,3.924758879114152
"Montgomery County, PA",42091,2025-11-30,2029.5151964733568,2024-11-30,1958.98770981997,3.600200567867182
"Baltimore County, MD",24005,2025-11-30,1728.82786953862,2024-11-30,1669.7365856424935,3.5389584443577897
"Ventura County, CA",6111,2025-11-30,2941.2523969808244,2024-11-30,2890.000527721832,1.773420757794599
"Hamilton County, OH",39061,2025-11-30,1516.4690317763468,2024-11-30,1492.8789080880906,1.5801766345850343
"Snohomish County, WA",53061,2025-11-30,2149.690156539368,2024-11-30,2109.107557680864,1.924159757083616
"Multnomah County, OR",41051,2025-11-30,1686.6467328952442,2024-11-30,1666.0315196197855,1.2373843491366487
"Fort Bend County, TX",48157,2025-11-30,1915.8386043899493,2024-11-30,1918.453926907744,-0.1363244892729985
"Essex County, MA",25009,2025-11-30,2577.5504201680674,2024-11-30,2508.029292583193,2.771942408745536
"Suffolk County, MA",25025,2025-11-30,3307.1336204409886,2024-11-30,3225.3506876191273,2.5356291685054386
"Oklahoma County, OK",40109,2025-11-30,1299.7351285360455,2024-11-30,1262.5528907086953,2.9450043717755983
"Jefferson County, KY",21111,2025-11-30,1349.9913023574418,2024-11-30,1326.451072516592,1.7746775835605053
"San Joaquin County, CA",6077,2025-11-30,2355.817746487763,2024-11-30,2288.0814009129467,2.9603992912048276
"Cobb County, GA",13067,2025-11-30,1758.4070579085535,2024-11-30,1747.9944512480672,0.5956887708111255
"San Mateo County, CA",6081,2025-11-30,3462.6302270207584,2024-11-30,3275.9430146248296,5.698731985339761
"Dekalb County, GA",13089,2025-11-30,1762.449655761596,2024-11-30,1721.9178907931073,2.3538732703346237
"Monroe County, NY",36055,2025-11-30,1499.4905192139445,2024-11-30,1425.220630647324,5.2111151754018366
"Lee County, FL",12071,2025-11-30,1855.79841613832,2024-11-30,1948.293334803271,-4.747484221840274
"El Paso County, CO",8041,2025-11-30,1707.2669392244943,2024-11-30,1726.2968716002338,-1.102355723908553
"Norfolk County, MA",25021,2025-11-30,2841.1672747279704,2024-11-30,2801.4218280400933,1.4187597986870648
"Lake County, IL",17097,2025-11-30,2083.259851621808,2024-11-30,1991.2343209201304,4.621531968128878
"Jackson County, MO",29095,2025-11-30,1381.851699317616,2024-11-30,1326.7533538129385,4.152870263815893
"Polk County, FL",12105,2025-11-30,1841.3184597507409,2024-11-30,1813.6540789555024,1.5253394302826806
"Hudson County, NJ",34017,2025-11-30,2911.897375561862,2024-11-30,2830.292745118761,2.88325759177526
"Davidson County, TN",47037,2025-11-30,1779.5014466347147,2024-11-30,1771.6922790401263,0.440774489282038
"Denver County, CO",8031,2025-11-30,1858.5952649406104,2024-11-30,1898.25680610294,-2.0893664668983005
"Will County, IL",17197,2025-11-30,2121.3700000000003,2024-11-30,2025.6526250112051,4.7252610742311125
