name,date_zori,zori,lat,lng,one_year_change,one_year_date,population_zori,date_homebuilding,total,1 unit,2 units,3 and 4 units,5 units or more,multi_total,rt,multi_rt,population_homebuilding,rt_pc,multi_rt_pc,region,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01
"Columbus, OH",2026-01-01,1481.00007307347,39.9862,-82.9855,2.245047048908444,2025-01-01,2225377.0,2026-01-01,888.0,374.0,2.0,0.0,512.0,514.0,16118.0,10704.0,2225377.0,7.2428177338042055,4.809971523926058,Midwest,5.837213200280222,5.380661344122816,5.681284564368195,5.751834408282282,5.973369905413779,6.089754679768866,5.84979533804834,5.803511045544194,5.939218388614604,5.700157771020371,6.023698456486249,5.825080424575251,6.094248300400337,6.5660784667047425,6.495977984853803,7.072509511871472,6.93859961705365,7.103066132165472,7.09722442534456,7.010048185094031,7.145755528164441,7.3645948529170555,7.139015097217236,7.2428177338042055
"Dallas, TX",2026-01-01,1628.087262805468,32.7935,-96.7667,0.2705682178921087,2025-01-01,8344032.0,2026-01-01,4053.0,2496.0,60.0,42.0,1455.0,1557.0,64705.0,26258.0,8344032.0,7.754644277490786,3.1469198584089804,Southwest,7.635037833028445,7.77286089027463,8.19016513838873,8.099441612879719,8.097643920828684,8.161162373298664,8.170030987417116,8.272020049779291,8.242777592415754,8.144024375745444,8.429857411860358,8.298745738271379,8.240380669681036,8.27034220386499,8.286401586187589,8.178300370851884,8.416554490682682,8.334579733155385,8.26351097407105,8.259915589968974,8.140069453233162,8.024657623556573,7.853277648024361,7.754644277490786
"Denver, CO",2026-01-01,1840.7692981818072,39.762,-104.8758,-1.2977059293138304,2025-01-01,3052498.0,2026-01-01,825.0,465.0,0.0,4.0,356.0,360.0,15607.0,8433.0,3052498.0,5.1128616628086245,2.762655372747173,West,6.690585874257739,6.798038852113908,6.532027211811441,6.245376737347576,6.205409471193757,6.168390609920137,5.814909624838411,5.976089091622665,5.887636945216672,5.577726832253453,5.163639746856509,5.085015616717849,5.007374288205922,4.880265277815088,5.0217887120646765,5.177398969630775,5.2419362764529245,5.134155698054512,5.326457216351985,5.254712697600457,5.311387591408741,5.304180379479364,5.165277749567731,5.1128616628086245
"Detroit, MI",2026-01-01,1455.395150318232,42.3834,-83.1024,2.6855285287723296,2025-01-01,4400578.0,2026-01-01,312.0,237.0,18.0,11.0,46.0,75.0,8986.0,4211.0,4400578.0,2.042004482138483,0.9569197500873748,Midwest,1.431857360555818,1.4389018897063066,1.452309219379818,1.4684434635631956,1.4489005762424845,1.4279942316668401,1.5127558243485288,1.562294771277773,1.6202417046124395,1.6529646787308394,1.6727348089273728,1.6868238672283504,1.6890962959865727,1.724318941739017,1.7277275848763503,1.7765848031781282,1.9086129140308388,1.999510064359727,2.034959952987994,2.0990424439698603,2.0831354426623045,2.0647287697207046,2.0606383979559046,2.042004482138483
"Grand Rapids, MI",2026-01-01,1636.1735215410947,42.9619,-85.6562,4.078671070733364,2025-01-01,1178826.0,2026-01-01,413.0,140.0,2.0,0.0,271.0,273.0,4348.0,1760.0,1178826.0,3.688415423480649,1.4930108429912472,Midwest,3.057279021670713,3.1030873088988535,2.9970496069818617,3.282078949734736,3.3270389353475407,3.3660608096529936,3.2515400915826422,3.2625680125820096,3.332977046654892,3.338915157962244,3.3219491256555247,3.364364206422322,3.293955172349439,3.3151627127328376,3.496699258414728,3.232877456045252,3.166709930049049,3.1548337074343458,3.1599235171263613,3.298196680426119,3.3355219515009,3.283775552965408,3.5917090393323527,3.688415423480649
"Hartford, CT",2026-01-01,1887.3650745208777,41.7661,-72.6834,3.291237631974786,2025-01-01,1169048.0,2026-01-01,68.0,35.0,2.0,8.0,23.0,33.0,1330.0,759.0,1169048.0,1.1376778370092588,0.6492462242782161,Northeast,1.6278202434801652,1.638940402789278,1.7475758052706134,1.5662316688450775,1.5687978594548728,1.6269648466102333,1.590182781203167,1.6064353217318708,1.503787697340058,1.7330340584817734,1.6209770685207108,1.590182781203167,1.5208956347386935,1.5585330970156914,1.5200402378687616,1.4764149975022411,1.4618732507134011,1.3840321355496097,1.3891645167692002,1.34553927640268,1.3019140360361592,1.0256208470481964,1.1222806933504867,1.1376778370092588
"Houston, TX",2026-01-01,1623.13137502779,29.786,-95.3885,0.0618126562509147,2025-01-01,7796182.0,2026-01-01,4206.0,3256.0,144.0,3.0,803.0,950.0,63466.0,17785.0,7796182.0,8.140651411165106,2.281244845233218,Southwest,8.584458392582421,8.586382411287987,8.636278629719008,8.382436428497948,8.239802508458627,8.226462645433367,8.069590986972853,7.986473378892385,8.153734738362957,8.287646440270379,8.357295917411882,8.445415974126822,8.399496061020638,8.439772185923829,8.482228865359993,8.613446941079621,8.661034337063963,8.729401135068422,8.487103046080762,8.563294186821189,8.399496061020638,8.325485474813185,8.336259979564355,8.140651411165106
"Indianapolis, IN",2026-01-01,1481.701542027788,39.7771,-86.1458,3.609885444328964,2025-01-01,2174833.0,2026-01-01,1236.0,630.0,52.0,0.0,554.0,606.0,12389.0,3198.0,2174833.0,5.6965293427127515,1.4704577316971004,Midwest,5.678137125931048,5.686413623482815,5.639973276109016,5.367768467739822,5.470764881717355,5.536057251292398,5.711243116138113,5.726876500402559,5.472144297975983,5.39075873871695,5.567783825240834,5.506629704441674,5.561346549367239,5.465707022102387,5.596751566672015,5.775615874874071,5.879531899690688,5.927351663323115,5.851483769098593,5.81148069759839,5.830792525219177,5.757223658092369,5.483639433464546,5.6965293427127515
"Jacksonville, FL",2026-01-01,1659.7065070661197,30.3322,-81.6749,0.4399866251397322,2025-01-01,1760548.0,2026-01-01,647.0,643.0,4.0,0.0,0.0,4.0,12727.0,3579.0,1760548.0,7.228999152536597,2.0328897593249375,Southeast,10.866502929769595,10.352458439076925,10.805158393863728,10.488211625016756,10.054823838941056,9.873062251071826,9.551003437566031,9.025598847631533,9.132951785466798,8.955166232332205,8.718876168102204,8.609819215380666,8.496786227924488,8.600731135987205,8.124742977754654,7.9679736082174415,7.885044883752105,7.82426835280833,7.910037102084124,7.948093434544244,7.770307881409652,7.67261102792994,7.46642522669078,7.228999152536597
"Kansas City, MO",2026-01-01,1472.4481623070694,39.1238,-94.5541,4.4953720659465235,2025-01-01,2253579.0,2026-01-01,398.0,300.0,2.0,24.0,72.0,98.0,8997.0,3830.0,2253579.0,3.9923162223290154,1.6995188542314248,Midwest,3.8840440028949503,4.029146526480767,4.091713669678321,3.8907000819585202,4.0034096874349645,3.940842544237411,4.057102058547758,4.080176465968133,4.486641027450114,4.273646497415887,4.199098411903909,4.1853425151725325,4.102807134784269,4.000303517205299,3.991872483724778,4.053995888318093,4.270096588581985,4.36283795686772,4.188892424006436,4.197323457486958,3.947942361905218,4.084170113406276,4.144074824978401,3.9923162223290154
