Name,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,date,multi_total
"Brevard, NC",16.0,16.0,0.0,0.0,0.0,2026-04-01,0.0
"Bridgeport, CT",96.0,41.0,6.0,18.0,31.0,2026-04-01,55.0
"Brigham City, UT",33.0,33.0,0.0,0.0,0.0,2026-04-01,0.0
"Brookhaven, MS",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Brookings, OR",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Brookings, SD",43.0,40.0,0.0,3.0,0.0,2026-04-01,3.0
"Brownsville, TX",232.0,174.0,12.0,3.0,43.0,2026-04-01,58.0
"Brownwood, TX",11.0,11.0,0.0,0.0,0.0,2026-04-01,0.0
"Brunswick, GA",55.0,53.0,2.0,0.0,0.0,2026-04-01,2.0
"Bucyrus, OH",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Buffalo, NY",145.0,90.0,0.0,31.0,24.0,2026-04-01,55.0
"Burley, ID",22.0,22.0,0.0,0.0,0.0,2026-04-01,0.0
"Burlington, IA",7.0,2.0,0.0,0.0,5.0,2026-04-01,5.0
"Burlington, NC",174.0,174.0,0.0,0.0,0.0,2026-04-01,0.0
"Burlington, VT",40.0,33.0,2.0,0.0,5.0,2026-04-01,7.0
"Butte, MT",10.0,7.0,0.0,3.0,0.0,2026-04-01,3.0
"Cadillac, MI",23.0,8.0,0.0,0.0,15.0,2026-04-01,15.0
"Calhoun, GA",30.0,30.0,0.0,0.0,0.0,2026-04-01,0.0
"Cambridge, MD",9.0,9.0,0.0,0.0,0.0,2026-04-01,0.0
"Cambridge, OH",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Camden, AR",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Campbellsville, KY",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Canton, IL",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Canton, OH",72.0,50.0,4.0,6.0,12.0,2026-04-01,22.0
"Cape Coral, FL",1382.0,678.0,20.0,0.0,684.0,2026-04-01,704.0
"Cape Girardeau, MO",10.0,10.0,0.0,0.0,0.0,2026-04-01,0.0
"Carbondale, IL",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Carlsbad, NM",29.0,29.0,0.0,0.0,0.0,2026-04-01,0.0
"Carroll, IA",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Carson City, NV",41.0,28.0,0.0,0.0,13.0,2026-04-01,13.0
"Casper, WY",13.0,13.0,0.0,0.0,0.0,2026-04-01,0.0
"Cañon City, CO",15.0,15.0,0.0,0.0,0.0,2026-04-01,0.0
"Cedar City, UT",104.0,100.0,0.0,4.0,0.0,2026-04-01,4.0
"Cedar Rapids, IA",168.0,56.0,4.0,4.0,104.0,2026-04-01,112.0
"Cedartown, GA",26.0,11.0,0.0,0.0,15.0,2026-04-01,15.0
"Celina, OH",13.0,11.0,2.0,0.0,0.0,2026-04-01,2.0
"Centralia, IL",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Centralia, WA",27.0,24.0,0.0,3.0,0.0,2026-04-01,3.0
"Chambersburg, PA",67.0,52.0,10.0,0.0,5.0,2026-04-01,15.0
"Champaign, IL",19.0,19.0,0.0,0.0,0.0,2026-04-01,0.0
"Charleston, WV",10.0,10.0,0.0,0.0,0.0,2026-04-01,0.0
"Charleston, IL",2.0,2.0,0.0,0.0,0.0,2026-04-01,0.0
"Charleston, SC",831.0,611.0,2.0,8.0,210.0,2026-04-01,220.0
"Charlotte, NC",2394.0,1236.0,2.0,0.0,1156.0,2026-04-01,1158.0
"Charlottesville, VA",120.0,87.0,0.0,3.0,30.0,2026-04-01,33.0
"Chattanooga, TN",326.0,283.0,12.0,4.0,27.0,2026-04-01,43.0
"Cheyenne, WY",41.0,21.0,0.0,20.0,0.0,2026-04-01,20.0
"Chicago, IL",1620.0,942.0,14.0,70.0,594.0,2026-04-01,678.0
"Chico, CA",73.0,64.0,2.0,0.0,7.0,2026-04-01,9.0
"Chillicothe, OH",5.0,3.0,2.0,0.0,0.0,2026-04-01,2.0
"Cincinnati, OH",1175.0,475.0,10.0,68.0,622.0,2026-04-01,700.0
"Clarksburg, WV",8.0,8.0,0.0,0.0,0.0,2026-04-01,0.0
"Clarksdale, MS",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Clarksville, TN",198.0,145.0,4.0,8.0,41.0,2026-04-01,53.0
"Clearlake, CA",8.0,3.0,0.0,0.0,5.0,2026-04-01,5.0
"Cleveland, MS",2.0,2.0,0.0,0.0,0.0,2026-04-01,0.0
"Cleveland, OH",479.0,262.0,2.0,18.0,197.0,2026-04-01,217.0
"Cleveland, TN",90.0,88.0,2.0,0.0,0.0,2026-04-01,2.0
"Clewiston, FL",43.0,43.0,0.0,0.0,0.0,2026-04-01,0.0
"Clinton, IA",8.0,3.0,0.0,0.0,5.0,2026-04-01,5.0
"Clovis, NM",16.0,5.0,8.0,3.0,0.0,2026-04-01,11.0
"Cody, WY",45.0,21.0,0.0,0.0,24.0,2026-04-01,24.0
"Coeur dAlene, ID",169.0,105.0,6.0,3.0,55.0,2026-04-01,64.0
"Coldwater, MI",5.0,5.0,0.0,0.0,0.0,2026-04-01,0.0
"College Station, TX",200.0,200.0,0.0,0.0,0.0,2026-04-01,0.0
"Colorado Springs, CO",287.0,279.0,8.0,0.0,0.0,2026-04-01,8.0
"Columbia, MO",99.0,61.0,0.0,0.0,38.0,2026-04-01,38.0
"Columbia, SC",586.0,439.0,2.0,8.0,137.0,2026-04-01,147.0
"Columbus, GA",68.0,63.0,0.0,0.0,5.0,2026-04-01,5.0
"Columbus, IN",15.0,15.0,0.0,0.0,0.0,2026-04-01,0.0
"Columbus, MS",18.0,18.0,0.0,0.0,0.0,2026-04-01,0.0
"Columbus, NE",8.0,8.0,0.0,0.0,0.0,2026-04-01,0.0
"Columbus, OH",2069.0,538.0,10.0,3.0,1518.0,2026-04-01,1531.0
"Concord, NH",40.0,28.0,4.0,0.0,8.0,2026-04-01,12.0
"Connersville, IN",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Cookeville, TN",73.0,73.0,0.0,0.0,0.0,2026-04-01,0.0
"Coos Bay, OR",4.0,4.0,0.0,0.0,0.0,2026-04-01,0.0
"Corbin, KY",5.0,1.0,4.0,0.0,0.0,2026-04-01,4.0
"Cordele, GA",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Corinth, MS",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Cornelia, GA",32.0,27.0,0.0,0.0,5.0,2026-04-01,5.0
"Corning, NY",8.0,8.0,0.0,0.0,0.0,2026-04-01,0.0
"Corpus Christi, TX",200.0,194.0,0.0,0.0,6.0,2026-04-01,6.0
"Corsicana, TX",47.0,45.0,2.0,0.0,0.0,2026-04-01,2.0
"Cortland, NY",4.0,4.0,0.0,0.0,0.0,2026-04-01,0.0
"Corvallis, OR",19.0,19.0,0.0,0.0,0.0,2026-04-01,0.0
"Coshocton, OH",3.0,1.0,2.0,0.0,0.0,2026-04-01,2.0
"Crawfordsville, IN",6.0,6.0,0.0,0.0,0.0,2026-04-01,0.0
"Crescent City, CA",5.0,0.0,0.0,0.0,5.0,2026-04-01,5.0
"Crestview, FL",273.0,273.0,0.0,0.0,0.0,2026-04-01,0.0
"Crossville, TN",11.0,7.0,4.0,0.0,0.0,2026-04-01,4.0
"Cullman, AL",22.0,22.0,0.0,0.0,0.0,2026-04-01,0.0
"Cumberland, MD",10.0,10.0,0.0,0.0,0.0,2026-04-01,0.0
"Dallas, TX",5488.0,3811.0,140.0,39.0,1498.0,2026-04-01,1677.0
"Dalton, GA",48.0,44.0,4.0,0.0,0.0,2026-04-01,4.0
"Danville, IL",2.0,2.0,0.0,0.0,0.0,2026-04-01,0.0
"Danville, KY",18.0,18.0,0.0,0.0,0.0,2026-04-01,0.0
"Danville, VA",7.0,7.0,0.0,0.0,0.0,2026-04-01,0.0
"Daphne, AL",286.0,281.0,0.0,0.0,5.0,2026-04-01,5.0
"Davenport, IA",52.0,40.0,2.0,0.0,10.0,2026-04-01,12.0
"Dayton, OH",202.0,153.0,6.0,7.0,36.0,2026-04-01,49.0
"DeRidder, LA",7.0,7.0,0.0,0.0,0.0,2026-04-01,0.0
"Decatur, AL",32.0,32.0,0.0,0.0,0.0,2026-04-01,0.0
"Decatur, IL",5.0,5.0,0.0,0.0,0.0,2026-04-01,0.0
"Decatur, IN",9.0,9.0,0.0,0.0,0.0,2026-04-01,0.0
"Defiance, OH",4.0,4.0,0.0,0.0,0.0,2026-04-01,0.0
"Del Rio, TX",7.0,7.0,0.0,0.0,0.0,2026-04-01,0.0
"Deltona, FL",394.0,371.0,2.0,0.0,21.0,2026-04-01,23.0
"Deming, NM",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Denver, CO",2189.0,761.0,24.0,27.0,1377.0,2026-04-01,1428.0
"Des Moines, IA",456.0,303.0,4.0,0.0,149.0,2026-04-01,153.0
"Detroit Lakes, MN",11.0,6.0,0.0,0.0,5.0,2026-04-01,5.0
"Detroit, MI",582.0,434.0,24.0,28.0,96.0,2026-04-01,148.0
"Dickinson, ND",6.0,6.0,0.0,0.0,0.0,2026-04-01,0.0
"Dixon, IL",5.0,5.0,0.0,0.0,0.0,2026-04-01,0.0
"Dodge City, KS",14.0,14.0,0.0,0.0,0.0,2026-04-01,0.0
"Dothan, AL",56.0,56.0,0.0,0.0,0.0,2026-04-01,0.0
"Douglas, GA",11.0,8.0,0.0,3.0,0.0,2026-04-01,3.0
"Dover, DE",101.0,65.0,0.0,0.0,36.0,2026-04-01,36.0
"DuBois, PA",4.0,4.0,0.0,0.0,0.0,2026-04-01,0.0
"Dublin, GA",15.0,4.0,0.0,0.0,11.0,2026-04-01,11.0
"Dubuque, IA",65.0,15.0,0.0,8.0,42.0,2026-04-01,50.0
"Duluth, MN",43.0,38.0,0.0,0.0,5.0,2026-04-01,5.0
"Dumas, TX",4.0,1.0,0.0,3.0,0.0,2026-04-01,3.0
"Duncan, OK",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Durango, CO",25.0,25.0,0.0,0.0,0.0,2026-04-01,0.0
"Durant, OK",148.0,2.0,2.0,0.0,144.0,2026-04-01,146.0
"Durham, NC",673.0,356.0,2.0,4.0,311.0,2026-04-01,317.0
"Dyersburg, TN",7.0,7.0,0.0,0.0,0.0,2026-04-01,0.0
"Eagle Pass, TX",8.0,6.0,2.0,0.0,0.0,2026-04-01,2.0
