name,lat,lng,population
"Glendale, CA",34.1819,-118.2468,192270
"Gastonia, NC",35.2494,-81.1854,189767
"Spring Hill, FL",28.4798,-82.53,188743
"Murfreesboro, TN",35.849,-86.4121,187601
"Tempe, AZ",33.3881,-111.9319,186419
"Paradise, NV",36.0872,-115.1355,186178
"Newport News, VA",37.1051,-76.5185,184774
"Erie, PA",42.1167,-80.0733,184332
"Fort Lauderdale, FL",26.1412,-80.1464,183032
"Gainesville, GA",34.2902,-83.8294,182116
"Aurora, IL",41.7638,-88.2902,179867
"Mauldin, SC",34.7821,-82.3032,179196
"Ontario, CA",34.0393,-117.6064,178347
"Elk Grove, CA",38.4161,-121.3842,177221
"Panama City, FL",30.1995,-85.6003,177125
"Cary, NC",35.7819,-78.8195,176686
"Hemet, CA",33.7341,-116.9969,176009
"Danbury, CT",41.4015,-73.4709,175074
"Rancho Cucamonga, CA",34.1247,-117.5667,174693
"Salinas, CA",36.6883,-121.6317,172995
"Oceanside, CA",33.2247,-117.3083,172542
"Vallejo, CA",38.1125,-122.2342,171414
"High Point, NC",35.991,-79.9937,171342
"Garden Grove, CA",33.7787,-117.9601,170603
"Pembroke Pines, FL",26.0128,-80.3382,170557
"Lancaster, CA",34.6935,-118.1753,170013
"Marysville, WA",48.0809,-122.1561,168664
"Bayamon, PR",18.3794,-66.1635,167312
"Fredericksburg, VA",38.2992,-77.4872,166746
"Visalia, CA",36.3276,-119.3269,166273
"Tuscaloosa, AL",33.2348,-87.5268,166253
"Palmdale, CA",34.5944,-118.1057,165487
"Santa Cruz, CA",36.9789,-122.0346,165263
"Medford, OR",42.3372,-122.854,164628
"Norwich, CT",41.5495,-72.0882,163299
"Merced, CA",37.3057,-120.4779,163257
"Manchester, NH",42.9848,-71.4447,162716
"Odessa, TX",31.8801,-102.3448,162648
"Muskegon, MI",43.2281,-86.2562,162458
"Leesburg, FL",28.7672,-81.8962,161515
"Lafayette, IN",40.3991,-86.8593,160373
"Hayward, CA",37.6328,-122.0766,159201
"Corona, CA",33.8616,-117.5649,158839
"Paterson, NJ",40.9147,-74.1624,157660
"Alexandria, VA",38.8185,-77.0861,156788
"Macon, GA",32.8065,-83.6974,156543
"Lakewood, CO",39.6977,-105.1172,156309
"Springfield, IL",39.7709,-89.654,156240
"Kansas City, KS",39.1235,-94.7443,154776
"Burlington, NC",36.076,-79.4685,154504
"Warner Robins, GA",32.5961,-83.6527,154327
"Sunnyvale, CA",37.3836,-122.0255,153455
"Hollywood, FL",26.0293,-80.1679,152935
"Roseville, CA",38.7703,-121.3196,152438
"New Bedford, MA",41.6697,-70.9428,152104
"South Lyon, MI",42.4614,-83.6526,151231
"Bellevue, WA",47.5951,-122.1535,151199
"Fairfield, CA",38.2583,-122.0335,150794
"Binghamton, NY",42.1014,-75.9093,150564
"Topeka, KS",39.0346,-95.6955,150343
"Escondido, CA",33.1348,-117.0723,149913
"Joliet, IL",41.5188,-88.1499,149785
"Surprise, AZ",33.6815,-112.4515,149519
"Naperville, IL",41.748,-88.1659,149424
"Pasadena, TX",29.6575,-95.1498,149345
"Mesquite, TX",32.7602,-96.5865,148848
"Champaign, IL",40.1142,-88.2737,148477
"Pomona, CA",34.0585,-117.7626,148391
"Houma, LA",29.58,-90.7059,147841
"Athens, GA",33.9508,-83.3689,147368
"St. George, UT",37.0758,-113.5752,147347
"Beaumont, TX",30.0849,-94.1451,146554
"Elkhart, IN",41.6916,-85.9627,146511
"Lake Charles, LA",30.201,-93.2111,145110
"Santa Maria, CA",34.9333,-120.4431,144857
"Yuma, AZ",32.5995,-114.5491,144509
"Olathe, KS",38.8833,-94.82,143720
